Myindex,v[b],v[c],Time,Method,Tgt,Strain,K,BObj
87,0.18921,17.20301,9.312,M,70,iJO1366,2,Ex_lac_e
88,0.1932,17.02543,6.809,M,80,iJO1366,2,Ex_lac_e
89,0.24084,0.00189,11.847,M,90,iJO1366,2,Ex_lac_e
90,0.07692,18.86302,9.437,O,10,iJO1366,2,Ex_lac_e
91,0.07692,18.86291,10.255,O,20,iJO1366,2,Ex_lac_e
92,0.07692,18.86302,8.55,O,30,iJO1366,2,Ex_lac_e
93,0.18921,17.20292,6.902,O,40,iJO1366,2,Ex_lac_e
94,0.18921,17.20292,6.862,O,50,iJO1366,2,Ex_lac_e
95,0.18921,17.20293,7.041,O,60,iJO1366,2,Ex_lac_e
96,0.18921,17.20293,7.361,O,70,iJO1366,2,Ex_lac_e
97,0.1937,16.98229,6.01,O,80,iJO1366,2,Ex_lac_e
98,0.2415,0.00007,4.076,O,90,iJO1366,2,Ex_lac_e
99,0.18921,17.20292,8.235,P,10,iJO1366,2,Ex_lac_e
100,0.18921,17.20292,7.707,P,20,iJO1366,2,Ex_lac_e
101,0.18921,17.20292,6.891,P,30,iJO1366,2,Ex_lac_e
102,0.18921,17.20292,4.275,P,40,iJO1366,2,Ex_lac_e
103,0.18921,17.20292,4.391,P,50,iJO1366,2,Ex_lac_e
104,0.18921,17.20292,4.603,P,60,iJO1366,2,Ex_lac_e
105,0.18923,17.20271,5.373,P,70,iJO1366,2,Ex_lac_e
106,0.19481,16.86407,4.199,P,80,iJO1366,2,Ex_lac_e
107,0.2415,0,7.288,P,90,iJO1366,2,Ex_lac_e
108,0.83407,10.26081,4.25,M,10,iJR904,2,EX_for_e
109,0.18439,39.99455,1.376,M,20,iJR904,2,EX_for_e
110,0.89382,2.60702,4.675,M,30,iJR904,2,EX_for_e
111,0.36878,33.97407,1.251,M,40,iJR904,2,EX_for_e
112,0.90614,0.83182,4.828,M,50,iJR904,2,EX_for_e
113,0.89387,2.60083,5.744,M,60,iJR904,2,EX_for_e
114,0.90846,0.34468,3.854,M,70,iJR904,2,EX_for_e
115,0.91118,0.33609,5.692,M,80,iJR904,2,EX_for_e
116,0.82975,10.85661,2.429,M,90,iJR904,2,EX_for_e
117,0.91118,0.33476,4.112,O,10,iJR904,2,EX_for_e
118,0.91118,0.33476,4.126,O,20,iJR904,2,EX_for_e
119,0.91118,0.33476,4.077,O,30,iJR904,2,EX_for_e
120,0.91118,0.33476,4.212,O,40,iJR904,2,EX_for_e
121,0.91118,0.33476,4.091,O,50,iJR904,2,EX_for_e
122,0.55317,27.58199,2.817,O,60,iJR904,2,EX_for_e
123,0.91118,0.33476,3.562,O,70,iJR904,2,EX_for_e
124,0.91118,0.33475,3.593,O,80,iJR904,2,EX_for_e
125,0.82975,10.85661,1.47,O,90,iJR904,2,EX_for_e
126,0.83376,0.30629,6.511,P,10,iJR904,2,EX_for_e
127,0.83478,0.30667,5.582,P,20,iJR904,2,EX_for_e
128,0.8353,0.30686,5.799,P,30,iJR904,2,EX_for_e
129,0.83376,0.30629,6.869,P,40,iJR904,2,EX_for_e
130,0.83632,0.30723,5.548,P,50,iJR904,2,EX_for_e
131,0.83684,0.30742,5.302,P,60,iJR904,2,EX_for_e
132,0.83376,0.30629,5.654,P,70,iJR904,2,EX_for_e
133,0.83376,0.30629,5.15,P,80,iJR904,2,EX_for_e
134,0.83376,0.30629,4.064,P,90,iJR904,2,EX_for_e
135,0.84293,0.34799,4.64,M,10,iJR904,2,EX_fum_e
136,0.84293,0.35151,4.253,M,20,iJR904,2,EX_fum_e
137,0.8429,0.41906,4.376,M,30,iJR904,2,EX_fum_e
138,0.84292,0.36548,6.619,M,40,iJR904,2,EX_fum_e
139,0.46097,9.26756,1.995,M,50,iJR904,2,EX_fum_e
140,0.84296,0.28732,5.336,M,60,iJR904,2,EX_fum_e
141,0.84297,0.26453,5.289,M,70,iJR904,2,EX_fum_e
142,0.73756,3.59767,2.585,M,80,iJR904,2,EX_fum_e
143,0.84543,0.29751,4.515,M,90,iJR904,2,EX_fum_e
144,0.84269,0.88348,4.154,O,10,iJR904,2,EX_fum_e
145,0.84269,0.88348,4.099,O,20,iJR904,2,EX_fum_e
146,0.27658,12.78881,1.922,O,30,iJR904,2,EX_fum_e
147,0.36878,11.14258,2.62,O,40,iJR904,2,EX_fum_e
148,0.84269,0.88348,4.069,O,50,iJR904,2,EX_fum_e
149,0.55317,7.39253,2.133,O,60,iJR904,2,EX_fum_e
150,0.64536,5.51743,2.927,O,70,iJR904,2,EX_fum_e
151,0.84269,0.88348,3.147,O,80,iJR904,2,EX_fum_e
152,0.84269,0.88348,2.333,O,90,iJR904,2,EX_fum_e
153,0.84297,0.26403,6.158,P,10,iJR904,2,EX_fum_e
154,0.84297,0.26403,5.026,P,20,iJR904,2,EX_fum_e
155,0.27658,12.73535,1.783,P,30,iJR904,2,EX_fum_e
156,0.84452,0.26452,4.564,P,40,iJR904,2,EX_fum_e
157,0.84491,0.26464,4.456,P,50,iJR904,2,EX_fum_e
158,0.84297,0.26403,5.118,P,60,iJR904,2,EX_fum_e
159,0.84297,0.26403,4.486,P,70,iJR904,2,EX_fum_e
160,0.84297,0.26403,3.132,P,80,iJR904,2,EX_fum_e
161,0.84297,0.26403,2.15,P,90,iJR904,2,EX_fum_e
162,0.07919,18.78186,23.707,M,10,iJO1366,3,EX_ac_e
163,0.07919,18.78187,78.562,M,20,iJO1366,3,EX_ac_e
164,0.07919,18.78186,18.733,M,30,iJO1366,3,EX_ac_e
165,0.12719,18.04371,15.677,M,40,iJO1366,3,EX_ac_e
166,0.12719,18.04369,23.338,M,50,iJO1366,3,EX_ac_e
