,From,Criteria,FBA_Objct,V_biomass,V_chemical,Soltype,Strategy,K
0,CB,vs,B,0.09407251924811783,9.4089772119553,optimal,"['AKGDH', 'CS', 'MDH3']",3
1,MILP,vs,B,0.09407251924348975,9.408977193213447,optimal,"['ALCD2x', 'CS', 'MDH2']",3
2,CB,ys,B,0.0940725192481179,0.031395480339525786,optimal,"['AKGDH', 'CS', 'MDH3']",3
3,MILP,ys,B,0.09407251919728425,0.03139548029587225,optimal,"['ALCD2x', 'CS', 'MDH2']",3
4,CB,vs,C,0.09407251925137543,9.4089772119553,optimal,"['AKGDH', 'CS', 'MDH3']",3
5,MILP,vs,C,0.09407251925046074,9.408977193213447,optimal,"['ALCD2x', 'CS', 'MDH2']",3
6,CB,ys,C,0.09407251924811783,9.40897719938346,optimal,"['AKGDH', 'CS', 'MDH3']",3
7,MILP,ys,C,0.09407251924811783,9.4089772078843,optimal,"['ALCD2x', 'CS', 'MDH2']",3
