,Method,Biomass,Chemical,Time,Strategy
0,MILP,0.18310921116800313,1.4148317730239208,88.84368133544922,"['FRD2', 'PFL', 'TKT2']"
1,CB,0.18310942408226794,1.4147942327339882,165.0827865600586,"['HEX1', 'PFL', 'TKT2']"
