,From,Criteria,FBA_Objct,V_biomass,V_chemical,Soltype,Strategy,K
0,CB,vs,B,0.10812695937161103,13.287321656681405,optimal,"['CS', 'FRD2', 'PFL']",3
1,MILP,vs,B,0.10812695937161103,13.287429316681832,optimal,"['ACALD', 'PYK', 'RPI']",3
2,CB,ys,B,0.1252845219504132,0.039818803721580046,optimal,"['CS', 'FRD2', 'PFL']",3
3,MILP,ys,B,0.21625391874321956,0.06873133415671326,optimal,"['ACALD', 'PYK', 'RPI']",3
4,CB,vs,C,0.10812695937161103,13.287321656681405,optimal,"['CS', 'FRD2', 'PFL']",3
5,MILP,vs,C,0.10812695937161103,13.287429316681832,optimal,"['ACALD', 'PYK', 'RPI']",3
6,CB,ys,C,0.10812695937161103,13.287293041462977,optimal,"['CS', 'FRD2', 'PFL']",3
7,MILP,ys,C,0.10812695937161103,13.287285653762035,optimal,"['ACALD', 'PYK', 'RPI']",3
