,v[b],v[c],Bobj,pctBio,K,Strat,Method,Time,minprod,Bacteria
0,0.240085770394245,0.2503918227764205,EX_succ_e,0.9941364297305892,1,['FUM'],M,7.4070000648498535,0.1,iJO
1,0.24008605002682593,0.2503851511484557,EX_succ_e,0.9941375876206848,1,['FUM'],O,1.2839999198913574,0.1,iJO
2,0.24008605002682554,0.25037183293625753,EX_succ_e,0.9941375876206833,1,['FUM'],P,1.2179999351501465,0.1,iJO
,v[b],v[c],Bobj,pctBio,K,Strat,Method,Time,minprod,Bacteria
0,0.24008570325729497,0.25041339580044836,EX_succ_e,0.9941361517329066,1,['FUM'],M,8.597000122070312,0.2,iJO
1,0.24008605002685082,0.25037163851087496,EX_succ_e,0.994137587620788,1,['FUM'],O,1.3249998092651367,0.2,iJO
2,0.24008605002682484,0.25037186175217824,EX_succ_e,0.9941375876206804,1,['FUM'],P,1.2189998626708984,0.2,iJO
,v[b],v[c],Bobj,pctBio,K,Strat,Method,Time,minprod,Bacteria
0,0.2400855745641608,0.25040576252331975,EX_succ_e,0.9941356188461273,1,['FUM'],M,13.026000022888184,0.3,iJO
1,0.240086050026853,0.2503717108766379,EX_succ_e,0.9941375876207968,1,['FUM'],O,1.3440001010894775,0.3,iJO
2,0.24008605002682404,0.2503717000798419,EX_succ_e,0.994137587620677,1,['FUM'],P,1.2170000076293945,0.3,iJO
,v[b],v[c],Bobj,pctBio,K,Strat,Method,Time,minprod,Bacteria
0,0.2400812354601706,0.250951002082186,EX_succ_e,0.9941176516782191,1,['FUM'],M,7.628000020980835,0.4,iJO
1,0.2400860500268524,0.25038519368490897,EX_succ_e,0.9941375876207945,1,['FUM'],O,1.2609999179840088,0.4,iJO
2,0.24008605002682412,0.2503716650667623,EX_succ_e,0.9941375876206774,1,['FUM'],P,1.1540000438690186,0.4,iJO
,v[b],v[c],Bobj,pctBio,K,Strat,Method,Time,minprod,Bacteria
0,0.24008577039424606,0.25039176174558014,EX_succ_e,0.9941364297305936,1,['FUM'],M,8.641000032424927,0.5,iJO
1,0.2400860500268272,0.25037172646713357,EX_succ_e,0.9941375876206902,1,['FUM'],O,1.9199998378753662,0.5,iJO
2,0.24008605002682562,0.25037171255485724,EX_succ_e,0.9941375876206836,1,['FUM'],P,1.375999927520752,0.5,iJO
,v[b],v[c],Bobj,pctBio,K,Strat,Method,Time,minprod,Bacteria
0,0.24008577039424261,0.2503916289948609,EX_succ_e,0.9941364297305794,1,['FUM'],M,8.391999959945679,0.6,iJO
1,0.24008605002685396,0.25037164905776776,EX_succ_e,0.994137587620801,1,['FUM'],O,1.496000051498413,0.6,iJO
2,0.2400860500268256,0.2503717279742657,EX_succ_e,0.9941375876206835,1,['FUM'],P,1.373999834060669,0.6,iJO
,v[b],v[c],Bobj,pctBio,K,Strat,Method,Time,minprod,Bacteria
0,0.24008577039424542,0.25039165544498615,EX_succ_e,0.9941364297305909,1,['FUM'],M,8.042999982833862,0.7,iJO
1,0.24008605002685104,0.2503717070771372,EX_succ_e,0.9941375876207889,1,['FUM'],O,1.3410000801086426,0.7,iJO
2,0.2400860500268246,0.250371633389058,EX_succ_e,0.9941375876206793,1,['FUM'],P,1.1749999523162842,0.7,iJO
,v[b],v[c],Bobj,pctBio,K,Strat,Method,Time,minprod,Bacteria
0,0.24008196546740443,0.25086299709004084,EX_succ_e,0.9941206744595523,1,['FUM'],M,6.53600001335144,0.8,iJO
1,0.2400860500268272,0.25037153293346304,EX_succ_e,0.9941375876206902,1,['FUM'],O,1.1030001640319824,0.8,iJO
2,0.2400860551747543,0.2503713364099816,EX_succ_e,0.9941376089369965,1,['FUM'],P,1.000999927520752,0.8,iJO
,v[b],v[c],Bobj,pctBio,K,Strat,Method,Time,minprod,Bacteria
0,0.2400857703942455,0.25039183737868087,EX_succ_e,0.9941364297305914,1,['FUM'],M,4.7749998569488525,0.9,iJO
1,0.24008605002682767,0.2503716118144158,EX_succ_e,0.994137587620692,1,['FUM'],O,1.0720000267028809,0.9,iJO
2,0.24008605273739408,0.25037133640997816,EX_succ_e,0.9941375988444844,1,['FUM'],P,0.8849999904632568,0.9,iJO
,v[b],v[c],Bobj,pctBio,K,Strat,Method,Time,minprod,Bacteria
0,0.053096554031354576,8.979650162767303,EX_succ_e,0.21985983829466244,2,"['GLCptspp', 'PYK']",M,28.265000104904175,0.1,iJO
1,0.05309660717577865,8.98029797569273,EX_succ_e,0.21986005835271888,2,"['GLCptspp', 'PYK']",O,10.472999811172485,0.1,iJO
2,0.2400860500265968,0.25037226966013854,EX_succ_e,0.9941375876197361,2,"['FUM', 'PGL']",P,5.091000080108643,0.1,iJO
,v[b],v[c],Bobj,pctBio,K,Strat,Method,Time,minprod,Bacteria
0,0.05309655403135598,8.97965013646465,EX_succ_e,0.21985983829466826,2,"['GLCptspp', 'PYK']",M,23.55900001525879,0.2,iJO
1,0.05309660717577756,8.979632933916665,EX_succ_e,0.21986005835271438,2,"['GLCptspp', 'PYK']",O,9.921000003814697,0.2,iJO
2,0.24008605002682548,0.2503718276908756,EX_succ_e,0.994137587620683,2,"['FRD2', 'FUM']",P,5.0299999713897705,0.2,iJO
,v[b],v[c],Bobj,pctBio,K,Strat,Method,Time,minprod,Bacteria
0,0.11729381066986962,2.3131671641027967,EX_succ_e,0.4856849699062173,2,"['PFL', 'RPI']",M,29.638999938964844,0.3,iJO
1,0.11729413073444775,2.3135030115141584,EX_succ_e,0.4856862952153202,2,"['PFL', 'RPI']",O,10.08299994468689,0.3,iJO
