,M_Bio,M_Che,KO,KO_i,W_Bio,W_Che,Strain
80,0.24150183336434453,0.08004916369427603,PYK,2239,0.2415018333643685,0.08004916369429657,iJO1366
81,0.241501833364344,0.08004916369424732,LDH_D,1626,0.2415018333643685,0.08004916369429657,iJO1366
82,0.1892142699688809,0.06271771878091784,PFL,2077,0.2415018333643685,0.08004916369429657,iJO1366
83,0.19480768752011118,0.06457173533627561,ALCD2x,614,0.2415018333643685,0.08004916369429657,iJO1366
84,0.19718262452749555,0.06535894145638178,PTAr,2278,0.2415018333643685,0.08004916369429657,iJO1366
85,0.19718262452749555,0.06535894145638178,ACKr,480,0.2415018333643685,0.08004916369429657,iJO1366
86,0.2415018333641211,0.08004916369424386,G6PDH2r,1243,0.2415018333643685,0.08004916369429657,iJO1366
87,0.2415018333641211,0.08004916369424386,PGL,2065,0.2415018333643685,0.08004916369429657,iJO1366
88,0.24150183336434403,0.08004916369427893,GND,1445,0.2415018333643685,0.08004916369429657,iJO1366
89,0.15688984599393813,0.05200333591251697,RPI,2225,0.2415018333643685,0.08004916369429657,iJO1366
90,0.2402136211487604,0.07962216772045269,RPE,2224,0.2415018333643685,0.08004916369429657,iJO1366
91,0.24084469171528053,0.07983134489471375,TKT1,2378,0.2415018333643685,0.08004916369429657,iJO1366
92,0.24084469171527295,0.07983134489471123,TALA,2394,0.2415018333643685,0.08004916369429657,iJO1366
93,0.2395858490504312,0.07941408386959617,TKT2,2382,0.2415018333643685,0.08004916369429657,iJO1366
94,0.24008605134584746,0.2503713377855116,FUM,1165,0.2415018333643685,0.08004916369429657,iJO1366
95,0.2415018333643433,0.08004916369427498,FRD2,1143,0.2415018333643685,0.08004916369429657,iJO1366
96,0.2415018333643447,0.08004916369427618,SUCOAS,2371,0.2415018333643685,0.08004916369429657,iJO1366
97,0.2415018333648673,0.08004916369445236,AKGDH,577,0.2415018333643685,0.08004916369429657,iJO1366
98,0.0,0.0,ACONTa,530,0.2415018333643685,0.08004916369429657,iJO1366
99,0.0,0.0,ACONTb,531,0.2415018333643685,0.08004916369429657,iJO1366
100,0.0,0.0,ICDHyr,1575,0.2415018333643685,0.08004916369429657,iJO1366
101,0.0,0.0,CS,877,0.2415018333643685,0.08004916369429657,iJO1366
102,0.24055311417921538,0.07973469743831232,MDH,1754,0.2415018333643685,0.08004916369429657,iJO1366
103,0.24150183336434342,0.08004916369427871,MDH2,1757,0.2415018333643685,0.08004916369429657,iJO1366
104,0.24150183336434364,0.08004916369432255,MDH3,1759,0.2415018333643685,0.08004916369429657,iJO1366
105,0.19480768752004016,0.064571735336172,ACALD,436,0.2415018333643685,0.08004916369429657,iJO1366
