,M_B,M_C,KO,KO_i,FBA_B,FBA_C,Strain,FVA_B,FVA_C,tgt,Che,Che_i,K
0,0.0,0.0,"['AKGDH', 'CS']","[577, 877]",0.2415018333643685,0.08004916369429657,iJO,-200.0,-200.0,50,EX_succ_e,261,2
1,0.10442506611755353,0.03461315011559634,"['PGI', 'RPI']","[2062, 2225]",0.2415018333643685,0.08004916369429657,iJO,-200.0,-200.0,50,EX_succ_e,261,2
2,0.1510605358214825,0.05007112944557398,"['TPI', 'TKT2']","[2412, 2382]",0.2415018333643685,0.08004916369429657,iJO,0.12075091668218425,1.685317812076422,50,EX_succ_e,261,2
3,0.24055311417921588,0.0797346974382996,"['SUCOAS', 'MDH']","[2371, 1754]",0.2415018333643685,0.08004916369429657,iJO,0.12075091668218425,8.814505102706079,50,EX_succ_e,261,2
4,0.24150183336434525,0.0800491636942793,"['PFK', 'PGL']","[2074, 2065]",0.2415018333643685,0.08004916369429657,iJO,0.12075091668218425,10.909046424215676,50,EX_succ_e,261,2
5,0.23958584905042465,0.07941408386964993,"['PYK', 'TKT2']","[2239, 2382]",0.2415018333643685,0.08004916369429657,iJO,0.12075091668218425,10.87798225805451,50,EX_succ_e,261,2
6,0.24021362114875427,0.07962216772041653,"['RPE', 'MDH3']","[2224, 1759]",0.2415018333643685,0.08004916369429657,iJO,0.12075091668218425,10.888215012731333,50,EX_succ_e,261,2
7,0.24150183336434353,0.08004916369427877,"['FRD2', 'AKGDH']","[1143, 577]",0.2415018333643685,0.08004916369429657,iJO,0.12075091668218425,10.909046424214239,50,EX_succ_e,261,2
8,0.0,0.0,"['HEX1', 'CS']","[1451, 877]",0.2415018333643685,0.08004916369429657,iJO,-200.0,-200.0,50,EX_succ_e,261,2
9,-200.0,-200.0,"['PGM', 'FUM']","[2067, 1165]",0.2415018333643685,0.08004916369429657,iJO,-200.0,-200.0,50,EX_succ_e,261,2
10,0.23943658161543324,0.24969404477184498,"['TKT1', 'FUM']","[2378, 1165]",0.2415018333643685,0.08004916369429657,iJO,0.12075091668218425,8.79053732571073,50,EX_succ_e,261,2
11,-200.0,-200.0,"['GAPD', 'MDH3']","[1318, 1759]",0.2415018333643685,0.08004916369429657,iJO,-200.0,-200.0,50,EX_succ_e,261,2
12,0.1509219250500121,0.15738742031912184,"['TPI', 'FUM']","[2412, 1165]",0.2415018333643685,0.08004916369429657,iJO,0.12075091668218425,1.5602879451709801,50,EX_succ_e,261,2
13,0.0,0.0,"['CS', 'MDH3']","[877, 1759]",0.2415018333643685,0.08004916369429657,iJO,-200.0,-200.0,50,EX_succ_e,261,2
14,0.16112144409972662,0.16802388676500365,"['PGI', 'FUM']","[2062, 1165]",0.2415018333643685,0.08004916369429657,iJO,0.12075091668218425,3.3219510079789045,50,EX_succ_e,261,2
15,0.0,0.0,"['RPI', 'TKT2']","[2225, 2382]",0.2415018333643685,0.08004916369429657,iJO,-200.0,-200.0,50,EX_succ_e,261,2
16,-200.0,-200.0,"['PGK', 'PYK']","[2064, 2239]",0.2415018333643685,0.08004916369429657,iJO,-200.0,-200.0,50,EX_succ_e,261,2
17,0.24150183336436962,0.08004916369429547,"['GLCabcpp', 'MDH3']","[1287, 1759]",0.2415018333643685,0.08004916369429657,iJO,0.12075091668218425,10.909046424211478,50,EX_succ_e,261,2
