C_Bio,C_Che,Method,Time,Tgt,Strain,K,Strategy,KIndex,E_Bio,E_Che,ICB_Bio,ICB_Che,ICC_Bio,ICC_Che,ID,Pct_Che,Pct_Bio
0.051282009,9.608799114,P,23.55900002,20,iJO,3,"['ALCD2x', 'GLCptspp', 'PYK']","[614, 1291, 2239]",0.048300367,13.93461885,0.051282009,9.608799114,0.048300367,9.846223658,1223,11903.62211,21.2346253
0.24008605,0.2503717,P,1.169000149,30,iJO,1,['FUM'],[1165],0.07245055,13.01748383,0.24008605,0.250371336,0.07245055,10.7290872,1231,212.772412,99.41375876
0.24008605,0.250371655,P,4.950999975,30,iJO,2,"['FUM', 'GLCabcpp']","[1165, 1287]",0.07245055,13.01748383,0.24008605,0.250371336,0.07245055,10.72908723,1232,212.7723562,99.41375876
0.112556897,9.109126626,P,16.84200001,30,iJO,3,"['ALCD2x', 'LDH_D', 'PFL']","[614, 1626, 2077]",0.07245055,13.01748383,0.112556897,9.109126626,0.07245055,13.01642892,1233,11279.41511,46.60705685
0.24008605,0.250371665,P,1.230000019,40,iJO,1,['FUM'],[1165],0.096600733,12.00279269,0.24008605,0.250371336,0.096600733,9.838782934,1241,212.7723683,99.41375876
0.24008605,0.250371793,P,4.772000074,40,iJO,2,"['AKGDH', 'FUM']","[577, 1165]",0.096600733,12.00279269,0.24008605,0.250371336,0.096600733,9.838782934,1242,212.7725283,99.41375876
0.112556897,9.109126626,P,15.22000003,40,iJO,3,"['ALCD2x', 'LDH_D', 'PFL']","[614, 1626, 2077]",0.096600733,12.00279269,0.112556897,9.109126626,0.096600733,11.0027031,1243,11279.41511,46.60705685
0.24008605,0.250371713,P,1.15199995,50,iJO,1,['FUM'],[1165],0.120750917,10.90904642,0.24008605,0.250371336,0.120750917,8.814384255,1251,212.7724276,99.41375876
0.24008605,0.250371661,P,4.225999832,50,iJO,2,"['FUM', 'PYK']","[1165, 2239]",0.120750917,10.90904642,0.24008605,0.250371336,0.120750917,8.814384255,1252,212.7723633,99.41375876
0.240086103,0.250372095,P,41.09800005,50,iJO,3,"['FUM', 'GND', 'LDH_D']","[1165, 1445, 1626]",0.120750917,10.90904642,0.24008605,0.250371336,0.120750917,8.8143844,1253,212.7729048,99.41378058
