,C_Bio,C_Che,Method,Time,Tgt,Strain,K,Strategy,E_Bio,E_Che,ICB_Bio,ICB_Che,ICC_Bio,ICC_Che
0,0.2400860500268531,0.2503851416254355,O,1.2829999923706057,10,iJO,1,['FUM'],0.0241501833364368,14.851757343692997,0.2400860500268259,0.2503713364099685,0.0241501833364368,12.50969574238876
1,0.2415018320297185,0.0800491632518986,P,0.5069999694824219,10,iJO,1,['MDH2'],0.0241501833364368,14.851757343692997,0.2415018360335943,0.0800491645790393,0.0241501833364368,14.851786279906198
2,0.2400857703942438,0.2503873697919915,M,33.14999985694885,10,iJO,1,"['FUM', 'PYK']",0.0241501833364368,14.851757343692997,0.2400860500268245,0.2503713364099896,0.0241501833364368,12.50969574238876
3,0.0530966071757783,8.980088253660783,O,7.428999900817871,10,iJO,2,"['GLCptspp', 'PYK']",0.0241501833364368,14.851757343692997,0.0530966081479339,0.0175996141231467,0.0241501833364368,11.6631660848694
4,0.2415018320297183,0.0800491632518985,P,0.7109999656677246,10,iJO,2,"['AKGDH', 'MDH2']",0.0241501833364368,14.851757343692997,0.2415018320297191,0.0800491632518988,0.0241501833364368,14.851753864990428
5,0.0530936347693775,8.980663336781483,M,31.90400004386902,10,iJO,2,"['GLCptspp', 'PYK']",0.0241501833364368,14.851757343692997,0.05309660717578,0.0175996138009127,0.0241501833364368,11.663159912087746
6,0.0512820094161012,9.608948697170524,O,58.00999999046326,10,iJO,3,"['ALCD2x', 'GLCptspp', 'PYK']",0.0241501833364368,14.851757343692997,0.0512820094160996,9.608799114242997,0.0241501833364368,11.663117460871977
7,0.2415018320297183,0.0800491632518985,P,0.6110000610351562,10,iJO,3,"['AKGDH', 'MDH3', 'PYK']",0.0241501833364368,14.851757343692997,0.2415018360335956,0.0800491645790397,0.0241501833364368,14.851753870360756
8,0.0512818332426077,9.608823018857969,M,40.82399988174439,10,iJO,3,"['ACALD', 'GLCptspp', 'PYK']",0.0241501833364368,14.851757343692997,0.0512820094161,9.608799114242991,0.0241501833364368,11.663118001839848
9,0.2400860500268272,0.2503715902522112,O,1.1440000534057615,20,iJO,1,['FUM'],0.0483003666728737,13.934618849686425,0.2400860500268259,0.2503713364099685,0.0483003666728737,11.619391484770215
10,0.2415018320297185,0.0800491632518986,P,0.4539999961853027,20,iJO,1,['MDH2'],0.0483003666728737,13.934618849686425,0.2415018360335943,0.0800491645790393,0.0483003666728737,13.934618851830134
11,0.2400857703936116,0.2503916668732266,M,15.914999961853027,20,iJO,1,['FUM'],0.0483003666728737,13.934618849686425,0.2400860500268259,0.2503713364099685,0.0483003666728737,11.619391484770215
12,0.0530966071757775,8.979329493447796,O,6.557999849319458,20,iJO,2,"['GLCptspp', 'PYK']",0.0483003666728737,13.934618849686425,0.0530966081479339,0.0175996141231467,0.0483003666728737,9.846223658080373
13,0.2415018320297183,0.0800491632518985,P,0.5930001735687256,20,iJO,2,"['HEX1', 'MDH2']",0.0483003666728737,13.934618849686425,0.2415018360335954,0.0800491645790396,0.0483003666728737,13.934618851827397
