,C_Bio,C_Che,Method,Time,Tgt,Strain,K,Strategy,KIndex,E_Bio,E_Che,ICB_Bio,ICB_Che,ICC_Bio,ICC_Che,ID,Pct_Che,Pct_Bio,Soltype
0,0.8176329424579066,0.8509228678046838,P,7.375,10,iAF,1,"['FUM', 'PFL']","[1072, 1886]",0.08855712275787296,15.133163540624082,0.8176329424558402,0.8509228677393537,0.08855712275787296,14.861854720511474,3211,inf,92.32830934372436,Optimal
1,0.8176329424579066,0.8509228678046838,P,8.47100019454956,10,iAF,2,"['FUM', 'PFL']","[1072, 1886]",0.08855712275787296,15.133163540624082,0.8176329424558402,0.8509228677393537,0.08855712275787296,14.861854720511474,3212,inf,92.32830934372436,Optimal
2,0.8176329424579066,0.8509228678046838,P,8.52999997138977,10,iAF,3,"['FUM', 'PFL']","[1072, 1886]",0.08855712275787296,15.133163540624082,0.8176329424558402,0.8509228677393537,0.08855712275787296,14.861854720511474,3213,inf,92.32830934372436,Optimal
3,0.8176329424280843,0.8509228679119331,P,9.233000040054321,20,iAF,1,"['ALCD2x', 'FUM']","[239, 1072]",0.17711424551574592,13.544184227166227,0.8176329424008014,0.8509228680807046,0.17711424551574592,13.312953139030286,3221,inf,92.32830934035677,Optimal
4,0.8176329424280843,0.8509228679119331,P,8.890000104904175,20,iAF,2,"['ALCD2x', 'FUM']","[239, 1072]",0.17711424551574592,13.544184227166227,0.8176329424008014,0.8509228680807046,0.17711424551574592,13.312953139030286,3222,inf,92.32830934035677,Optimal
5,0.8176329424280843,0.8509228679119331,P,10.460000038146973,20,iAF,3,"['ALCD2x', 'FUM']","[239, 1072]",0.17711424551574592,13.544184227166227,0.8176329424008014,0.8509228680807046,0.17711424551574592,13.312953139030286,3223,inf,92.32830934035677,Optimal
6,0.817632942456314,0.8509228677606345,P,8.578999996185303,30,iAF,1,"['FUM', 'SUCOAS']","[1072, 2220]",0.26567136827361887,11.955204913945279,0.8176329424574946,0.8509228677096702,0.26567136827361887,11.747939913297436,3231,inf,92.32830934354452,Optimal
7,0.817632942456314,0.8509228677606345,P,9.003999948501587,30,iAF,2,"['FUM', 'SUCOAS']","[1072, 2220]",0.26567136827361887,11.955204913945279,0.8176329424574946,0.8509228677096702,0.26567136827361887,11.747939913297436,3232,inf,92.32830934354452,Optimal
8,0.817632942456314,0.8509228677606345,P,10.013999938964844,30,iAF,3,"['FUM', 'SUCOAS']","[1072, 2220]",0.26567136827361887,11.955204913945279,0.8176329424574946,0.8509228677096702,0.26567136827361887,11.747939913297436,3233,inf,92.32830934354452,Optimal
9,0.8176329424576695,0.8509228677860485,P,10.6010000705719,40,iAF,1,"['AKGDH', 'FUM']","[202, 1072]",0.35422849103149184,10.363115957472473,0.817632942459092,0.8509228677444698,0.35422849103149184,10.195308077726766,3241,inf,92.32830934369758,Optimal
10,0.8176329424576695,0.8509228677860485,P,10.922999858856201,40,iAF,2,"['AKGDH', 'FUM']","[202, 1072]",0.35422849103149184,10.363115957472473,0.817632942459092,0.8509228677444698,0.35422849103149184,10.195308077726766,3242,inf,92.32830934369758,Optimal
11,0.8176329424576695,0.8509228677860485,P,10.727999925613403,40,iAF,3,"['AKGDH', 'FUM']","[202, 1072]",0.35422849103149184,10.363115957472473,0.817632942459092,0.8509228677444698,0.35422849103149184,10.195308077726766,3243,inf,92.32830934369758,Optimal
12,0.8176329423453151,0.8509228685604915,P,8.384999990463257,50,iAF,1,"['ACALD', 'FUM']","[109, 1072]",0.44278561378936476,8.770442988956347,0.8176329424321408,0.850922867864345,0.44278561378936476,8.666248393008463,3251,inf,92.32830933101036,Optimal
13,0.8176329423453151,0.8509228685604915,P,7.329999923706055,50,iAF,2,"['ACALD', 'FUM']","[109, 1072]",0.44278561378936476,8.770442988956347,0.8176329424321408,0.850922867864345,0.44278561378936476,8.666248393008463,3252,inf,92.32830933101036,Optimal
14,0.8176329423453151,0.8509228685604915,P,7.7230000495910645,50,iAF,3,"['ACALD', 'FUM']","[109, 1072]",0.44278561378936476,8.770442988956347,0.8176329424321408,0.850922867864345,0.44278561378936476,8.666248393008463,3253,inf,92.32830933101036,Optimal
15,0.8176329424546511,0.8509228677404478,P,8.75,60,iAF,1,"['FRD2', 'FUM']","[1038, 1072]",0.5313427365472377,7.177770021487959,0.8176329424008157,0.850922868080712,0.5313427365472377,7.117346811585983,3261,inf,92.32830934335674,Optimal
16,0.8176329424546511,0.8509228677404478,P,8.276999950408936,60,iAF,2,"['FRD2', 'FUM']","[1038, 1072]",0.5313427365472377,7.177770021487959,0.8176329424008157,0.850922868080712,0.5313427365472377,7.117346811585983,3262,inf,92.32830934335674,Optimal
17,0.8176329424546511,0.8509228677404478,P,8.605000019073486,60,iAF,3,"['FRD2', 'FUM']","[1038, 1072]",0.5313427365472377,7.177770021487959,0.8176329424008157,0.850922868080712,0.5313427365472377,7.117346811585983,3263,inf,92.32830934335674,Optimal
18,0.8176329424546568,0.8509228677641323,P,7.522000074386597,70,iAF,1,"['FUM', 'MDH3']","[1072, 1615]",0.6198998593051106,5.585097052506171,0.817632942459092,0.8509228677444698,0.6198998593051106,5.5684452322146445,3271,inf,92.32830934335739,Optimal
19,0.8176329424546568,0.8509228677641323,P,7.552999973297119,70,iAF,2,"['FUM', 'MDH3']","[1072, 1615]",0.6198998593051106,5.585097052506171,0.817632942459092,0.8509228677444698,0.6198998593051106,5.5684452322146445,3272,inf,92.32830934335739,Optimal
