C_Bio,C_Che,Method,Time,Tgt,Strain,K,Strategy,KIndex,E_Bio,E_Che,ICB_Bio,ICB_Che,ICC_Bio,ICC_Che,ID
0.8176329424299844,0.851037746052273,O,1.0529999732971191,10,iAF,1,['FUM'],[1072],0.08855712275787296,15.133163540624082,0.8176329424299801,0.8509228679138823,0.08855712275787296,14.861854722822526,3111
0.08855712256627164,15.133216006721327,P,0.7980000972747803,10,iAF,1,['RPE'],[2104],0.08855712275787296,15.133163540624082,0.8718844251451583,0.0,0.08855712275787296,15.133163544815034,3211
0.8175871590103772,0.8535521575975508,M,3.557000160217285,10,iAF,1,['FUM'],[1072],0.08855712275787296,15.133163540624082,0.8176329424299801,0.8509228679138823,0.08855712275787296,14.861854722822526,3311
0.08855712256627157,15.132318234097232,O,1.7889997959136963,10,iAF,2,"['GND', 'TKT2']","[1252, 2209]",0.08855712275787296,15.133163540624082,0.088556179983063,0.0,0.08855712275787296,15.132370534003712,3112
0.08855712256627157,15.13322016924925,P,1.0220000743865967,10,iAF,2,"['RPE', 'PYK']","[2104, 2116]",0.08855712275787296,15.133163540624082,0.8718844234345032,0.0,0.08855712275787296,15.133163541235222,3212
0.08855712256627157,15.133213594832654,M,8.79800009727478,10,iAF,2,"['TKT1', 'TKT2']","[2208, 2209]",0.08855712275787296,15.133163540624082,0.1837584709489766,0.0,0.08855712275787296,15.13316352921538,3312
0.08855712256627157,15.133221849876,O,4.6000001430511475,10,iAF,3,"['FRD2', 'RPE', 'RPI']","[1038, 2104, 2105]",0.08855712275787296,15.133163540624082,0.08855683316793994,0.0,0.08855712275787296,15.13316321866357,3113
0.08855712256627157,15.133286136636528,P,1.1559998989105225,10,iAF,3,"['GLCabcpp', 'HEX1', 'RPE']","[1163, 1347, 2104]",0.08855712275787296,15.133163540624082,0.8718844253022201,0.0,0.08855712275787296,15.133163540776929,3213
0.08855712256627157,15.133210308195288,M,3.501999855041504,10,iAF,3,"['GND', 'PGL', 'RPE']","[1252, 1868, 2104]",0.08855712275787296,15.133163540624082,0.08855672576977298,0.0,0.08855712275787296,15.133163543433177,3313
0.8176329425130003,0.851035892113623,O,1.0119998455047607,20,iAF,1,['FUM'],[1072],0.17711424551574592,13.544184227166227,0.8176329424299801,0.8509228679138823,0.17711424551574592,13.31295314266064,3121
0.17711424549495558,13.54423530346976,P,0.5950000286102295,20,iAF,1,['GND'],[1252],0.17711424551574592,13.544184227166227,0.8677242051474497,0.0,0.17711424551574592,13.544184228328746,3221
0.8176329424566574,0.8510272752483274,M,3.559000015258789,20,iAF,1,['FUM'],[1072],0.17711424551574592,13.544184227166227,0.8176329424299801,0.8509228679138823,0.17711424551574592,13.31295314266064,3321
0.17711424530716613,13.543024270191781,O,2.875,20,iAF,2,"['RPE', 'RPI']","[2104, 2105]",0.17711424551574592,13.544184227166227,0.17711326877834177,0.0,0.17711424551574592,13.542963612591848,3122
0.17711424530716613,13.54424286942173,P,1.0350000858306885,20,iAF,2,"['FRD2', 'RPE']","[1038, 2104]",0.17711424551574592,13.544184227166227,0.8722700563002517,0.0,0.17711424551574592,13.544184220455188,3222
0.17711424530716613,13.543605039095464,M,5.819000005722046,20,iAF,2,"['TKT1', 'TKT2']","[2208, 2209]",0.17711424551574592,13.544184227166227,0.1771151596166703,0.0,0.17711424551574592,13.543551849400226,3322
0.17711424551574592,13.543607819243334,O,2.2230000495910645,20,iAF,3,"['RPE', 'PYK', 'TKT1']","[2104, 2116, 2208]",0.17711424551574592,13.544184227166227,0.17711521366575536,0.0,0.17711424551574592,13.543552415502463,3123
0.17711424530716613,13.54423935205281,P,1.4060001373291016,20,iAF,3,"['FRD2', 'HEX1', 'RPE']","[1038, 1347, 2104]",0.17711424551574592,13.544184227166227,0.8722700563977563,0.0,0.17711424551574592,13.544184223793883,3223
0.17711424530716613,13.543016370482922,M,10.240000009536743,20,iAF,3,"['GND', 'MDH3', 'RPE']","[1252, 1615, 2104]",0.17711424551574592,13.544184227166227,0.17711346893442645,0.0,0.17711424551574592,13.542961639235727,3323
0.8176329424302209,0.8510311070306472,O,1.0,30,iAF,1,['FUM'],[1072],0.26567136827361887,11.955204913945279,0.8176329424299802,0.8509228679138823,0.26567136827361887,11.764051558333449,3131
0.26567136810626846,11.955257087209663,P,0.8399999141693115,30,iAF,1,['RPE'],[2104],0.26567136827361887,11.955204913945279,0.8726556890715278,0.0,0.26567136827361887,11.95520490773628,3231
0.8176329424566574,0.8510324139097796,M,3.5950000286102295,30,iAF,1,['FUM'],[1072],0.26567136827361887,11.955204913945279,0.8176329424299802,0.8509228679138823,0.26567136827361887,11.764051557751372,3331
0.26567136810626835,11.953428100540432,O,1.6610000133514404,30,iAF,2,"['GND', 'RPE']","[1252, 2104]",0.26567136827361887,11.955204913945279,0.26567126191058377,0.0,0.26567136827361887,11.95337363109289,3132
0.26567136810626835,11.95526309488277,P,1.0679998397827148,30,iAF,2,"['FRD2', 'RPE']","[1038, 2104]",0.26567136827361887,11.955204913945279,0.8726556877575544,0.0,0.26567136827361887,11.955204912566,3232
0.26567136810626835,11.95343021908775,M,9.735000133514404,30,iAF,2,"['RPE', 'TKT1']","[2104, 2208]",0.26567136827361887,11.955204913945279,0.2656704986952708,0.0,0.26567136827361887,11.95337348349858,3332
0.26567136829043286,11.955231061141077,O,10.671000003814697,30,iAF,3,"['ACKr', 'GND', 'RPE']","[89, 1252, 2104]",0.26567136827361887,11.955204913945279,0.26567045019785956,0.0,0.26567136827361887,11.955204909676448,3133
