,C_Bio,C_Che,Method,Time,Tgt,Strain,K,Strategy,KIndex,E_Bio,E_Che,ICB_Bio,ICB_Che,ICC_Bio,ICC_Che,ID,Pct_Che,Pct_Bio
0,0.6250126845208935,6.415016326867292,P,0.4030001163482666,10,iJR,1,['GAPD'],[427],0.09219480950505711,25.185221824678187,0.6250126846007271,6.415016327081145,0.09219480950505711,24.02119682727739,2211,inf,67.79261087215653
1,0.5321873687097161,8.383747667148702,P,2.6489999294281006,10,iJR,2,"['PGK', 'PGL']","[781, 782]",0.09219480950505711,25.185221824678187,0.5321873686472883,8.383747666765249,0.09219480950505711,23.54227707290918,2212,inf,57.724222390255534
2,0.49730317107015254,9.190850640484793,P,50.53600001335144,10,iJR,3,"['GAPD', 'MDH', 'PGL']","[427, 707, 782]",0.09219480950505711,25.185221824678187,0.49730317102513766,9.190850639932737,0.09219480950505711,23.54227707682546,2213,inf,53.94047384444938
3,0.6250126845196784,6.4150163268937,P,0.748999834060669,20,iJR,1,['GAPD'],[427],0.18438961901011422,22.8775614494251,0.6250126846007271,6.415016327081145,0.18438961901011422,21.38522327692959,2221,inf,67.79261087202474
4,0.5321873687552239,8.383747667044089,P,3.2260000705718994,20,iJR,2,"['G6PDH2r', 'PGK']","[393, 781]",0.18438961901011422,22.8775614494251,0.5321873687296509,8.383747667394223,0.18438961901011422,20.58271634493657,2222,inf,57.72422239519158
5,0.4965204711277692,9.20786330142705,P,44.81399989128113,20,iJR,3,"['GAPD', 'MDH', 'PGL']","[427, 707, 782]",0.18438961901011422,22.8775614494251,0.4965204711504636,9.207863038700241,0.18438961901011422,20.56221323334986,2223,inf,53.85557753124203
6,0.6250126845196787,6.415016326893694,P,0.5060000419616699,30,iJR,1,['GAPD'],[427],0.2765844285151713,20.5048964391773,0.6250126845517252,6.415016327271048,0.2765844285151713,18.712213764920072,2231,inf,67.79261087202477
7,0.5321873686008861,8.383747666613132,P,2.5220000743865967,30,iJR,2,"['PGK', 'PGL']","[781, 782]",0.2765844285151713,20.5048964391773,0.5321873687097161,8.383747667148704,0.2765844285151713,17.62255936338008,2232,inf,57.72422237845119
8,0.4965204711504615,9.207863188408348,P,47.03600001335144,30,iJR,3,"['MDH', 'PGK', 'PGL']","[707, 781, 782]",0.2765844285151713,20.5048964391773,0.49652047115046405,9.207863038700246,0.2765844285151713,17.591804701645547,2233,inf,53.85557753370337
9,0.625012684520894,6.415016326867287,P,0.5090000629425049,40,iJR,1,['GAPD'],[427],0.36877923802022844,18.026045086562508,0.6250126846007271,6.415016327081145,0.36877923802022844,15.787118345080938,2241,inf,67.79261087215659
10,0.5321873686020422,8.383747666587949,P,2.180000066757202,40,iJR,2,"['GAPD', 'PGL']","[427, 782]",0.36877923802022844,18.026045086562508,0.5321873687296541,8.383747667178751,0.36877923802022844,14.662402378969093,2242,inf,57.72422237857657
11,0.4965204711518059,9.207863422656807,P,42.736000061035156,40,iJR,3,"['MDH', 'PGK', 'PGL']","[707, 781, 782]",0.36877923802022844,18.026045086562508,0.49652047115046405,9.207863038700246,0.36877923802022844,14.621396169808328,2243,inf,53.855577533849186
12,0.6250126845208861,6.4150163268672475,P,0.5059998035430908,50,iJR,1,['GAPD'],[427],0.46097404752528554,15.523860701425512,0.6250126846007271,6.415016327081145,0.46097404752528554,12.8334114365224,2251,inf,67.79261087215573
13,0.5321873687561292,8.383747667763554,P,2.064000129699707,50,iJR,2,"['PGK', 'PGL']","[781, 782]",0.46097404752528554,15.523860701425512,0.5321873686226092,8.383747666546396,0.46097404752528554,11.256390217841599,2252,inf,57.72422239528977
14,0.496520471127773,9.207863038756946,P,42.11199998855591,50,iJR,3,"['G6PDH2r', 'MDH', 'PGK']","[393, 707, 781]",0.46097404752528554,15.523860701425512,0.49652047115046416,9.207863038700243,0.46097404752528554,10.789764938692441,2253,inf,53.85557753124244
15,0.6250126845208945,6.4150163268673035,P,0.4910001754760742,60,iJR,1,['GAPD'],[427],0.5531688570303426,13.021676327518835,0.6250126846007271,6.415016327081145,0.5531688570303426,9.320823089549979,2261,inf,67.79261087215664
16,0.5597985061232635,7.832481233509807,P,2.3339998722076416,60,iJR,2,"['HEX1', 'PGK']","[496, 781]",0.5531688570303426,13.021676327518835,0.5597985059417565,7.832481232132978,0.5531688570303426,8.10131089652938,2262,inf,60.71909135975353
17,0.5573662753525017,7.885347068330041,P,38.317999839782715,60,iJR,3,"['GAPD', 'HEX1', 'FBA']","[427, 496, 776]",0.5531688570303426,13.021676327518835,0.5573662753769257,7.88534706823571,0.5531688570303426,8.055688073691554,2263,inf,60.45527707521635
18,0.7452932943780904,3.800653192125996,P,0.442000150680542,70,iJR,1,['ENO'],[260],0.6453636665353997,10.435300950772893,0.7452932946305163,3.8006531937564345,0.6453636665353997,7.639413644150575,2271,inf,80.8389646205852
19,0.6698635073032647,5.378639199944952,P,2.1419999599456787,70,iJR,2,"['HEX1', 'PGM']","[496, 784]",0.6453636665353997,10.435300950772893,0.6698635072816331,5.378639200009767,0.6453636665353997,6.377894641426799,2272,inf,72.65739914203316
20,0.6467456972653469,5.883240272075057,P,31.867000102996826,70,iJR,3,"['HEX1', 'PGM', 'TKT2']","[496, 784, 1006]",0.6453636665353997,10.435300950772893,0.6467456971468728,5.88324027095119,0.6453636665353997,5.995868225875896,2273,inf,70.14990331205915
21,0.7452932944612441,3.8006531926397473,P,0.4660000801086426,80,iJR,1,['PGM'],[784],0.7375584760404569,7.284326889015266,0.7452932943821795,3.8006531919082214,0.7375584760404569,4.110465814811838,2281,inf,80.83896462960456
