C_Bio,C_Che,Method,Time,Tgt,Strain,K,Strategy,E_Bio,E_Che,ICB_Bio,ICB_Che,ICC_Bio,ICC_Che
0.09219480934552848,25.185225271196828,O,0.2630000114440918,10,iJR,1,['CS'],0.09219480950505711,25.185221824678187,0.09219477470717985,17.996108287293662,0.09219480950505711,25.185221830006956
0.9014927680505255,0.32278086999300876,P,0.17199993133544922,10,iJR,1,['G6PDH2r'],0.09219480950505711,25.185221824678187,0.9014927680493894,0.3227808700178088,0.09219480950505711,25.185221827889443
0.624997519600381,6.415985581630359,M,1.8829998970031738,10,iJR,1,['GAPD'],0.09219480950505711,25.185221824678187,0.6250126846007271,6.415016327081145,0.09219480950505711,24.021196827277393
0.09219480934552848,25.18522704298871,O,0.3249998092651367,10,iJR,2,"['ACALD', 'CS']",0.09219480950505711,25.185221824678187,0.09219479336549727,17.99643056408975,0.09219480950505711,25.185221831686913
0.9219480945030227,0.0,P,0.1419999599456787,10,iJR,2,"['HEX1', 'MDH3']",0.09219480950505711,25.185221824678187,0.9219480950725948,0.0,0.09219480950505711,25.00498317609929
0.5321639693166781,8.403184745887714,M,3.0460000038146973,10,iJR,2,"['G6PDH2r', 'PGK']",0.09219480950505711,25.185221824678187,0.5321873687362303,8.38374766720287,0.09219480950505711,23.54227707432516
0.09219480934552848,25.185227766030465,O,0.23000001907348633,10,iJR,3,"['CS', 'MDH3', 'PYK']",0.09219480950505711,25.185221824678187,0.09219479656235886,17.992650508393336,0.09219480950505711,25.18522182941064
0.9219480944448151,0.0,P,0.1529998779296875,10,iJR,3,"['MDH2', 'MDH3', 'PFL']",0.09219480950505711,25.185221824678187,0.9219480950724682,0.0,0.09219480950505711,25.159334876963563
0.49650088029852707,9.209214647195145,M,6.515999794006348,10,iJR,3,"['G6PDH2r', 'GAPD', 'MDH']",0.09219480950505711,25.185221824678187,0.4965204711518082,9.207863038670958,0.09219480950505711,23.532636918327054
0.1843896190120427,22.8775910100126,O,0.21399998664855957,20,iJR,1,['CS'],0.18438961901011422,22.8775614494251,0.18438960437365676,15.98956478019465,0.18438961901011422,22.87756144455095
0.9014927680505255,0.32278086999300876,P,0.16900014877319336,20,iJR,1,['G6PDH2r'],0.18438961901011422,22.8775614494251,0.9014927680493894,0.3227808700178088,0.18438961901011422,22.87756144546211
0.6250126844973263,6.415191026081719,M,2.0370001792907715,20,iJR,1,['GAPD'],0.18438961901011422,22.8775614494251,0.6250126846007271,6.415016327081145,0.18438961901011422,21.38522327692959
0.1843896188074723,22.877593529231458,O,0.2909998893737793,20,iJR,2,"['CS', 'MDH3']",0.18438961901011422,22.8775614494251,0.18438960571349003,15.985279076477148,0.18438961901011422,22.87756144732437
0.9219480946776457,0.0,P,0.16100001335144043,20,iJR,2,"['ACALD', 'MDH2']",0.18438961901011422,22.8775614494251,0.921948095071929,0.0,0.18438961901011422,22.87756144549401
0.5321755740372521,8.395513416351132,M,3.261000156402588,20,iJR,2,"['G6PDH2r', 'GAPD']",0.18438961901011422,22.8775614494251,0.5321873686234698,8.383747666527453,0.18438961901011422,20.582716339499424
0.1843896188074723,22.87759442689453,O,0.17799997329711914,20,iJR,3,"['CS', 'MDH3', 'PYK']",0.18438961901011422,22.8775614494251,0.1843896056864823,15.985279077065101,0.18438961901011422,22.877561450533477
0.9219480945030227,0.0,P,0.14799976348876953,20,iJR,3,"['MDH2', 'MDH3', 'PFL']",0.18438961901011422,22.8775614494251,0.9219480950724682,0.0,0.18438961901011422,22.825787108809685
0.1843896188074723,22.8775913030255,M,1.442000150680542,20,iJR,3,"['ICDHyr', 'MDH2', 'PFK']",0.18438961901011422,22.8775614494251,0.18438960832544196,15.99219362948491,0.18438961901011422,22.8775614443987
0.27658442838583147,20.50489978901512,O,0.2259998321533203,30,iJR,1,['CS'],0.2765844285151713,20.5048964391773,0.27658441563115244,13.988290375472893,0.2765844285151713,20.504896408063946
0.9014927680505255,0.32278086999300876,P,0.1680002212524414,30,iJR,1,['G6PDH2r'],0.2765844285151713,20.5048964391773,0.9014927680493894,0.3227808700178088,0.2765844285151713,20.504896437892473
0.6250126844973316,6.415190302265618,M,2.1120002269744873,30,iJR,1,['PGK'],0.2765844285151713,20.5048964391773,0.6250126845196815,6.415016326893685,0.2765844285151713,18.712213761924403
0.2765844283858314,20.504942714204482,O,0.31599998474121094,30,iJR,2,"['CS', 'MDH2']",0.2765844285151713,20.5048964391773,0.27658441594561844,0.0,0.2765844285151713,20.504896437985874
0.9219480947358534,0.0,P,0.14300012588500977,30,iJR,2,"['ACALD', 'MDH2']",0.2765844285151713,20.5048964391773,0.921948095071929,0.0,0.2765844285151713,20.504896436696686
0.5321839931648537,8.388568015923191,M,3.0410001277923584,30,iJR,2,"['PGK', 'PGL']",0.2765844285151713,20.5048964391773,0.5321873686226092,8.383747666546396,0.2765844285151713,17.622559360619107
0.2765844283858314,20.504942734469513,O,0.21600008010864258,30,iJR,3,"['CS', 'MDH3', 'PYK']",0.2765844285151713,20.5048964391773,0.27658441196353506,13.977918539534917,0.2765844285151713,20.504896434677548
0.9219480945612304,0.0,P,0.14599990844726562,30,iJR,3,"['FRD2', 'MDH2', 'MDH3']",0.2765844285151713,20.5048964391773,0.9219480950725978,0.0,0.2765844285151713,20.504896440643346
0.4965188083977168,9.208122400851392,M,9.850000143051147,30,iJR,3,"['G6PDH2r', 'MDH', 'PGK']",0.2765844285151713,20.5048964391773,0.49652047115046416,9.207863038700243,0.2765844285151713,17.591804705513507
0.36877923778956756,18.026104394224337,O,0.23600006103515625,40,iJR,1,['CS'],0.36877923802022844,18.026045086562508,0.3687792011301432,11.984387596376305,0.36877923802022844,18.026045089340688
0.36877960822790906,0.0,P,0.1360001564025879,40,iJR,1,['G6PDH2r'],0.36877923802022844,18.026045086562508,0.9044873037387974,0.2574180215479282,0.36877923802022844,18.02604508391295
0.6250126844973245,6.415191060881325,M,1.7000000476837158,40,iJR,1,['GAPD'],0.36877923802022844,18.026045086562508,0.6250126846007271,6.415016327081145,0.36877923802022844,15.787118345080948
0.36877923778956756,18.02604827026504,O,0.3040001392364502,40,iJR,2,"['CS', 'HEX1']",0.36877923802022844,18.026045086562508,0.3687792212608246,11.984387158465747,0.36877923802022844,18.02604508156224
0.9219480948522687,0.0,P,0.1529998779296875,40,iJR,2,"['ACALD', 'MDH2']",0.36877923802022844,18.026045086562508,0.921948095071929,0.0,0.36877923802022844,18.026045087727418
0.5321833205080204,8.389113488568464,M,3.014000177383423,40,iJR,2,"['PGK', 'PGL']",0.36877923802022844,18.026045086562508,0.5321873686226092,8.383747666546396,0.36877923802022844,14.662402381399279
0.36877923778956756,18.026105714528455,O,0.17300009727478027,40,iJR,3,"['CS', 'MDH3', 'PYK']",0.36877923802022844,18.026045086562508,0.3687792195816611,11.970557974965528,0.36877923802022844,18.026045086253394
0.9219480945612304,0.0,P,0.14800000190734863,40,iJR,3,"['FRD2', 'MDH2', 'MDH3']",0.36877923802022844,18.026045086562508,0.9219480950725978,0.0,0.36877923802022844,18.026045085186286
0.49651832467833873,9.20815070359521,M,9.624000072479248,40,iJR,3,"['G6PDH2r', 'GAPD', 'MDH']",0.36877923802022844,18.026045086562508,0.4965204711518082,9.207863038670958,0.36877923802022844,14.62139616442227
0.46097403066232806,15.523933845655478,O,0.23099994659423828,50,iJR,1,['CS'],0.46097404752528554,15.523860701425512,0.46097399397638655,9.980484656591349,0.46097404752528554,15.52386070171084
0.9219480950724633,0.0,P,0.15899991989135742,50,iJR,1,['MDH3'],0.46097404752528554,15.523860701425512,0.9219480950724673,0.0,0.46097404752528554,15.523860704117556
0.6250126844973316,6.415190652541979,M,1.7929999828338623,50,iJR,1,['GAPD'],0.46097404752528554,15.523860701425512,0.6250126846007271,6.415016327081145,0.46097404752528554,12.8334114365224
0.46097403066232806,15.523933969118398,O,0.5720000267028809,50,iJR,2,"['ACALD', 'ICDHyr']",0.46097404752528554,15.523860701425512,0.4609740230120826,9.980484025637924,0.46097404752528554,15.523860698888893
