,C_Bio,C_Che,Method,Time,Tgt,Strain,K,Strategy,KIndex,E_Bio,E_Che,ICB_Bio,ICB_Che,ICC_Bio,ICC_Che,ID,Pct_Che,Pct_Bio
0,0.8176329424283243,0.8509228679721489,P,1.253999948501587,10,iAF,1,['FUM'],[1072],0.08855712275787296,15.133163540624082,0.8176329424840545,0.8509228675423834,0.08855712275787296,14.861854719696566,3211,inf,92.32830934038387
1,0.8176329424579066,0.8509228678046838,P,6.795000076293945,10,iAF,2,"['FUM', 'PFL']","[1072, 1886]",0.08855712275787296,15.133163540624082,0.8176329424558402,0.8509228677393537,0.08855712275787296,14.861854720511474,3212,inf,92.32830934372436
2,0.8176329424588483,0.850922867798641,P,438.9500000476837,10,iAF,3,"['FRD2', 'FUM', 'MDH2']","[1038, 1072, 1614]",0.08855712275787296,15.133163540624082,0.8176329424590918,0.8509228677620944,0.08855712275787296,14.861854721134364,3213,inf,92.3283093438307
3,0.8176329424283243,0.8509228679721489,P,1.2220001220703125,20,iAF,1,['FUM'],[1072],0.17711424551574592,13.544184227166227,0.8176329424840545,0.8509228675423834,0.17711424551574592,13.312953140237369,3221,inf,92.32830934038387
4,0.8176329424280843,0.8509228679119331,P,8.067000150680542,20,iAF,2,"['ALCD2x', 'FUM']","[239, 1072]",0.17711424551574592,13.544184227166227,0.8176329424008014,0.8509228680807046,0.17711424551574592,13.312953139030286,3222,inf,92.32830934035677
5,0.8176329424563139,0.850922867708417,P,296.36699986457825,20,iAF,3,"['FUM', 'GLCabcpp', 'SUCOAS']","[1072, 1163, 2220]",0.17711424551574592,13.544184227166227,0.8176329424556035,0.8509228677076814,0.17711424551574592,13.299306881556276,3223,inf,92.3283093435445
6,0.8176329424283244,0.8509228679721489,P,1.2779998779296875,30,iAF,1,['FUM'],[1072],0.26567136827361887,11.955204913945279,0.8176329424840545,0.8509228675423834,0.26567136827361887,11.764051557984203,3231,inf,92.32830934038388
7,0.817632942456314,0.8509228677606345,P,7.876999855041504,30,iAF,2,"['FUM', 'SUCOAS']","[1072, 2220]",0.26567136827361887,11.955204913945279,0.8176329424574946,0.8509228677096702,0.26567136827361887,11.747939913297436,3232,inf,92.32830934354452
8,0.8176329424290376,0.8510271360418742,P,237.70199990272522,30,iAF,3,"['AKGDH', 'FUM', 'PYK']","[202, 1072, 2116]",0.26567136827361887,11.955204913945279,0.8176329424558354,0.850922867760383,0.26567136827361887,11.74699126278665,3233,inf,92.32830934046441
9,0.8176329425110966,0.8509228673605246,P,1.244999885559082,40,iAF,1,['FUM'],[1072],0.35422849103149184,10.363115957472473,0.8176329424840545,0.8509228675423834,0.35422849103149184,10.215149974497873,3241,inf,92.32830934973066
10,0.8176329424576695,0.8509228677860485,P,9.456000089645386,40,iAF,2,"['AKGDH', 'FUM']","[202, 1072]",0.35422849103149184,10.363115957472473,0.817632942459092,0.8509228677444698,0.35422849103149184,10.195308077726766,3242,inf,92.32830934369758
11,0.8176329424292731,0.8509228678626028,P,128.87599992752075,40,iAF,3,"['ACALD', 'FUM', 'MDH3']","[109, 1072, 1615]",0.35422849103149184,10.363115957472473,0.817632942455838,0.8509228677393718,0.35422849103149184,10.215149976362675,3243,inf,92.32830934049102
12,0.8176329425111013,0.8509228673301593,P,1.758000135421753,50,iAF,1,['FUM'],[1072],0.44278561378936476,8.770442988956347,0.8176329424840545,0.8509228675423834,0.44278561378936476,8.666248393477872,3251,inf,92.32830934973117
13,0.8176329423453151,0.8509228685604915,P,8.007999897003174,50,iAF,2,"['ACALD', 'FUM']","[109, 1072]",0.44278561378936476,8.770442988956347,0.8176329424321408,0.850922867864345,0.44278561378936476,8.666248393008463,3252,inf,92.32830933101036
14,0.8176329424576618,0.8509228677855162,P,446.25099992752075,50,iAF,3,"['FRD2', 'FUM', 'SUCOAS']","[1038, 1072, 2220]",0.44278561378936476,8.770442988956347,0.8176329424556062,0.8509228677076628,0.44278561378936476,8.645205979373051,3253,inf,92.32830934369672
15,0.8176329425111025,0.8509228672441133,P,1.9509999752044678,60,iAF,1,['FUM'],[1072],0.5313427365472377,7.177770021487959,0.8176329424840545,0.8509228675423834,0.5313427365472377,7.117346811819675,3261,inf,92.32830934973131
16,0.8176329424546511,0.8509228677404478,P,9.059000015258789,60,iAF,2,"['FRD2', 'FUM']","[1038, 1072]",0.5313427365472377,7.177770021487959,0.8176329424008157,0.850922868080712,0.5313427365472377,7.117346811585983,3262,inf,92.32830934335674
17,0.8176329425120487,0.8510395515829998,P,410.0279998779297,60,iAF,3,"['ALCD2x', 'FUM', 'MDH2']","[239, 1072, 1614]",0.5313427365472377,7.177770021487959,0.8176329424558392,0.850922867760385,0.5313427365472377,7.117346812250267,3263,inf,92.32830934983815
18,0.8176329424283278,0.850922867898968,P,1.4800000190734863,70,iAF,1,['FUM'],[1072],0.6198998593051106,5.585097052506171,0.8176329424840545,0.8509228675423834,0.6198998593051106,5.568445231838223,3271,inf,92.32830934038428
19,0.8176329424546568,0.8509228677641323,P,8.14900016784668,70,iAF,2,"['FUM', 'MDH3']","[1072, 1615]",0.6198998593051106,5.585097052506171,0.817632942459092,0.8509228677444698,0.6198998593051106,5.5684452322146445,3272,inf,92.32830934335739
20,0.8176329425120503,0.8509229221024466,P,247.73600006103516,70,iAF,3,"['FUM', 'HEX1', 'MDH3']","[1072, 1347, 1615]",0.6198998593051106,5.585097052506171,0.817632942459092,0.8509228677444698,0.6198998593051106,5.568445231649093,3273,inf,92.32830934983835
