,C_Bio,C_Che,Tgt,K,Method,ICB_Bio,ICB_Che,ICC_Bio,ICC_Che
0,0.9219480950724699,0.0,70,2,P,0.9219480950724701,0.0,0.6453636665353997,10.383735826046651
1,0.8297532747965306,2.174462801165637,90,3,O,0.8297525760934459,1.9648857083606626,0.829753285545514,2.174456895558131
2,0.737558463239111,7.284473620601142,80,3,O,0.7375584520701646,3.9687741108627295,0.7375584760404569,7.284326909463113
3,0.6453636523801833,10.435411121660145,70,3,O,0.645363641558443,5.948476297125403,0.6453636665353997,10.43530095515289
