C_Bio,C_Che,Method,Time,Tgt,Strain,K,Strategy,E_Bio,E_Che,ICB_Bio,ICB_Che,ICC_Bio,ICC_Che
0.8176329424299844,0.851037746052273,O,1.001999855041504,10,iAF,1,['FUM'],0.08855712275787296,15.133163540624082,0.8176329424299801,0.8509228679138823,0.08855712275787296,14.861854722822526
0.08855712256627164,0.0,P,0.3810000419616699,10,iAF,1,['G6PDH2r'],0.08855712275787296,15.133163540624082,0.8701491665090556,0.0,0.08855712275787296,15.133163541098222
0.08855712256627157,15.132608604151756,M,5.186999797821045,10,iAF,1,"['GND', 'RPE']",0.08855712275787296,15.133163540624082,0.8637039272913654,0.0,0.08855712275787296,15.132553234386926
0.08855712256627157,15.132318234097232,O,1.8489999771118164,10,iAF,2,"['GND', 'TKT2']",0.08855712275787296,15.133163540624082,0.088556179983063,0.0,0.08855712275787296,15.132370534003712
0.8677202146624814,0.0,P,0.43199992179870605,10,iAF,2,"['MDH2', 'PGL']",0.08855712275787296,15.133163540624082,0.8677202146657952,0.0,0.08855712275787296,15.133163542484061
0.08855712256627157,15.132676123292185,M,3.7840001583099365,10,iAF,2,"['G6PDH2r', 'GND', 'RPE']",0.08855712275787296,15.133163540624082,0.775147801594903,0.0,0.08855712275787296,15.132553174231747
0.08855712256627157,15.133221849876,O,4.781999826431274,10,iAF,3,"['FRD2', 'RPE', 'RPI']",0.08855712275787296,15.133163540624082,0.08855683316793994,0.0,0.08855712275787296,15.13316321866357
0.885571227578763,0.0,P,0.5079998970031738,10,iAF,3,"['GLCabcpp', 'HEX1', 'MDH2']",0.08855712275787296,15.133163540624082,0.8855712275912875,0.0,0.08855712275787296,15.133163540524215
0.08855712256627157,15.133218743139878,M,1.746000051498413,10,iAF,3,"['G6PDH2r', 'GND', 'TKT2']",0.08855712275787296,15.133163540624082,0.0885561749621343,0.0,0.08855712275787296,15.133145294632897
0.8176329425130003,0.851035892113623,O,1.0160000324249268,20,iAF,1,['FUM'],0.17711424551574592,13.544184227166227,0.8176329424299801,0.8509228679138823,0.17711424551574592,13.31295314266064
0.8855712275519722,0.0,P,0.43400001525878906,20,iAF,1,['MDH2'],0.17711424551574592,13.544184227166227,0.885571227591291,0.0,0.17711424551574592,13.544184226361784
0.817607527864604,0.8524252312436023,M,8.227999925613403,20,iAF,1,['FUM'],0.17711424551574592,13.544184227166227,0.8176329424299801,0.8509228679138823,0.17711424551574592,13.31295314266064
0.17711424530716613,13.543024270191781,O,2.888000011444092,20,iAF,2,"['RPE', 'RPI']",0.17711424551574592,13.544184227166227,0.17711326877834177,0.0,0.17711424551574592,13.542963612591848
0.8855712276485049,0.0,P,0.42100000381469727,20,iAF,2,"['HEX1', 'PFL']",0.17711424551574592,13.544184227166227,0.885571227591279,0.0,0.17711424551574592,13.544184229685925
0.17711424530716613,13.544235055584547,M,2.5799999237060547,20,iAF,2,"['G6PDH2r', 'GND', 'RPE']",0.17711424551574592,13.544184227166227,1000.0,1000.0,0.17711424551574592,13.544184227939695
0.17711424551574592,13.543607819243334,O,2.187999963760376,20,iAF,3,"['RPE', 'PYK', 'TKT1']",0.17711424551574592,13.544184227166227,0.17711521366575536,0.0,0.17711424551574592,13.543552415502463
0.8855712275787629,0.0,P,0.7200000286102295,20,iAF,3,"['GLCabcpp', 'HEX1', 'MDH2']",0.17711424551574592,13.544184227166227,0.8855712275912875,0.0,0.17711424551574592,13.544184226001901
0.17711424530716613,11.463988231663832,M,10.95300006866455,20,iAF,3,"['PGM', 'TKT2', 'TPI', 'TALA']",0.17711424551574592,13.544184227166227,0.6894497756781218,0.0,0.17711424551574592,11.463941758990298
0.8176329424302209,0.8510311070306472,O,1.0,30,iAF,1,['FUM'],0.26567136827361887,11.955204913945279,0.8176329424299802,0.8509228679138823,0.26567136827361887,11.764051558333449
0.8855712275519723,0.0,P,0.44899988174438477,30,iAF,1,['MDH2'],0.26567136827361887,11.955204913945279,0.885571227591291,0.0,0.26567136827361887,11.955204909337548
0.817582243505147,0.8538198947463318,M,9.146999835968018,30,iAF,1,['FUM'],0.26567136827361887,11.955204913945279,0.8176329424299802,0.8509228679138823,0.26567136827361887,11.764051557824017
0.26567136810626835,11.953428100540432,O,1.681999921798706,30,iAF,2,"['GND', 'RPE']",0.26567136827361887,11.955204913945279,0.26567126191058377,0.0,0.26567136827361887,11.95337363109289
0.8855712276485047,0.0,P,0.44500017166137695,30,iAF,2,"['MDH2', 'PFL']",0.26567136827361887,11.955204913945279,0.8855712275995471,0.0,0.26567136827361887,11.955204914356267
0.26567136810626835,11.954604335539225,M,6.2829999923706055,30,iAF,2,"['RPI', 'TALA']",0.26567136827361887,11.955204913945279,0.2656704651227899,0.0,0.26567136827361887,11.95425634560885
0.26567136829043286,11.955231061141077,O,10.833000183105469,30,iAF,3,"['ACKr', 'GND', 'RPE']",0.26567136827361887,11.955204913945279,0.26567045019785956,0.0,0.26567136827361887,11.955204909676448
0.877615582825438,0.0,P,0.5899999141693115,30,iAF,3,"['AKGDH', 'GLCabcpp', 'PFL']",0.26567136827361887,11.955204913945279,0.8776155828486061,0.0,0.26567136827361887,11.943664763922982
0.26567136810626835,11.953426085673701,M,3.8420000076293945,30,iAF,3,"['G6PDH2r', 'GND', 'PGL', 'RPE']",0.26567136827361887,11.955204913945279,0.2656711673095686,0.0,0.26567136827361887,11.953373317776945
0.8176329425129937,0.8510318915916244,O,1.0439999103546143,40,iAF,1,['FUM'],0.35422849103149184,10.363115957472473,0.8176329424299801,0.8509228679138823,0.35422849103149184,10.215149975507462
