C_Bio,C_Che,Method,Time,Tgt,Strain,K,Strategy,E_Bio,E_Che,ICB_Bio,ICB_Che,ICC_Bio,ICC_Che
0.24008605002685313,0.2503851416254355,O,1.2829999923706055,10,iJO,1,['FUM'],0.024150183336436853,14.851757343692995,0.2400860500268259,0.2503713364099685,0.024150183336436853,12.509695742388761
0.24150183202971853,0.08004916325189862,P,0.5069999694824219,10,iJO,1,['MDH2'],0.024150183336436853,14.851757343692995,0.24150183603359437,0.08004916457903932,0.024150183336436853,14.851786279906198
0.24008577039424384,0.2503873697919915,M,33.14999985694885,10,iJO,1,"['FUM', 'PYK']",0.024150183336436853,14.851757343692995,0.24008605002682454,0.25037133640998965,0.024150183336436853,12.509695742388761
0.053096607175778354,8.980088253660783,O,7.428999900817871,10,iJO,2,"['GLCptspp', 'PYK']",0.024150183336436853,14.851757343692995,0.053096608147933905,0.017599614123146763,0.024150183336436853,11.663166084869399
0.24150183202971834,0.08004916325189855,P,0.7109999656677246,10,iJO,2,"['AKGDH', 'MDH2']",0.024150183336436853,14.851757343692995,0.2415018320297191,0.08004916325189881,0.024150183336436853,14.851753864990428
0.05309363476937754,8.980663336781483,M,31.90400004386902,10,iJO,2,"['GLCptspp', 'PYK']",0.024150183336436853,14.851757343692995,0.053096607175780006,0.017599613800912746,0.024150183336436853,11.663159912087746
0.05128200941610122,9.608948697170524,O,58.00999999046326,10,iJO,3,"['ALCD2x', 'GLCptspp', 'PYK']",0.024150183336436853,14.851757343692995,0.05128200941609967,9.608799114242997,0.024150183336436853,11.663117460871977
0.24150183202971834,0.08004916325189855,P,0.6110000610351562,10,iJO,3,"['AKGDH', 'MDH3', 'PYK']",0.024150183336436853,14.851757343692995,0.2415018360335956,0.08004916457903971,0.024150183336436853,14.851753870360756
0.051281833242607724,9.608823018857969,M,40.823999881744385,10,iJO,3,"['ACALD', 'GLCptspp', 'PYK']",0.024150183336436853,14.851757343692995,0.05128200941610006,9.608799114242993,0.024150183336436853,11.663118001839848
0.2400860500268272,0.25037159025221123,O,1.1440000534057617,20,iJO,1,['FUM'],0.048300366672873705,13.934618849686423,0.2400860500268259,0.2503713364099685,0.048300366672873705,11.619391484770217
0.24150183202971853,0.08004916325189862,P,0.45399999618530273,20,iJO,1,['MDH2'],0.048300366672873705,13.934618849686423,0.24150183603359437,0.08004916457903932,0.048300366672873705,13.934618851830134
0.24008577039361167,0.25039166687322667,M,15.914999961853027,20,iJO,1,['FUM'],0.048300366672873705,13.934618849686423,0.2400860500268259,0.2503713364099685,0.048300366672873705,11.619391484770217
0.05309660717577756,8.979329493447796,O,6.557999849319458,20,iJO,2,"['GLCptspp', 'PYK']",0.048300366672873705,13.934618849686423,0.053096608147933905,0.017599614123146763,0.048300366672873705,9.846223658080373
0.24150183202971834,0.08004916325189855,P,0.5930001735687256,20,iJO,2,"['HEX1', 'MDH2']",0.048300366672873705,13.934618849686423,0.24150183603359543,0.08004916457903966,0.048300366672873705,13.934618851827395
0.048300356602112515,9.846328614606428,M,18.07799983024597,20,iJO,2,"['GLCptspp', 'PYK']",0.048300366672873705,13.934618849686423,0.05309660717577913,0.017599613800912454,0.048300366672873705,9.846223658097603
0.05128200941610121,9.608799420723381,O,44.049999952316284,20,iJO,3,"['ACALD', 'GLCptspp', 'PYK']",0.048300366672873705,13.934618849686423,0.05128200941610006,9.608799114242993,0.048300366672873705,9.846223658080032
0.24150183202971834,0.08004916325189855,P,0.9690001010894775,20,iJO,3,"['AKGDH', 'MDH3', 'PGL']",0.048300366672873705,13.934618849686423,0.24150183202971826,0.08004916325189854,0.048300366672873705,13.93461885182877
0.048300356602112515,9.84633489154736,M,27.332000017166138,20,iJO,3,"['GLCptspp', 'PYK']",0.048300366672873705,13.934618849686423,0.0530966081479322,0.0175996141231462,0.048300366672873705,9.846223658087865
0.2400860500268499,0.25038522953079156,O,1.1420001983642578,30,iJO,1,['FUM'],0.07245055000931055,13.017483830080796,0.2400860500268259,0.2503713364099685,0.07245055000931055,10.729087200814268
0.24150183202971853,0.08004916325189862,P,0.4679999351501465,30,iJO,1,['MDH2'],0.07245055000931055,13.017483830080796,0.24150183603359437,0.08004916457903932,0.07245055000931055,13.017483833306947
0.24008570497089218,0.2503964619140696,M,28.594000101089478,30,iJO,1,['FUM'],0.07245055000931055,13.017483830080796,0.24008605002682384,0.2503713364099956,0.07245055000931055,10.72908720081216
