,From,Criteria,FBA_Objct,V_biomass,V_chemical,Soltype,Strategy,K
0,CB,vs,B,0.18310942408227027,1.4147942327340084,optimal,"['PFL', 'TKT2']",2
1,MILP,vs,B,0.18310921116800138,1.4148317730246758,optimal,"['PFL', 'TKT2']",2
2,CB,ys,B,0.183109211168005,0.06069411157059157,optimal,"['PFL', 'TKT2']",2
3,MILP,ys,B,0.183109211168005,0.06069411157059157,optimal,"['PFL', 'TKT2']",2
4,CB,vs,C,0.18310942408227027,1.4147942327340084,optimal,"['PFL', 'TKT2']",2
5,MILP,vs,C,0.18310921116800138,1.4148317730246758,optimal,"['PFL', 'TKT2']",2
6,CB,ys,C,0.12075091668218425,10.119460337498282,optimal,"['PFL', 'TKT2']",2
7,MILP,ys,C,0.12075091668218425,10.119460337498282,optimal,"['PFL', 'TKT2']",2
