,From,Criteria,FBA_Objct,V_biomass,V_chemical,Soltype,Strategy,K
0,CB,vs,B,0.4841492216347688,10.957826032323496,optimal,"['NA', 'NA']",2
1,MILP,vs,B,0.2420746108173844,17.009742978068175,optimal,"['r_0014', 'r_1636']",2
2,CB,ys,B,0.4841492216347686,10.957826032323501,optimal,"['NA', 'NA']",2
3,MILP,ys,B,0.484149221634769,10.957826032323624,optimal,"['r_0014', 'r_1636']",2
4,CB,vs,C,0.4841492216347688,10.957826032323496,optimal,"['NA', 'NA']",2
5,MILP,vs,C,0.2420746108173844,17.009742978068175,optimal,"['r_0014', 'r_1636']",2
6,CB,ys,C,0.2420746108173844,17.009742978064214,optimal,"['NA', 'NA']",2
7,MILP,ys,C,0.2420746108173844,17.009742978064313,optimal,"['r_0014', 'r_1636']",2
