,From,Criteria,FBA_Objct,V_biomass,V_chemical,Soltype,Strategy,K
0,CB,vs,B,0.09203004721221865,10.285714285494201,optimal,"['MDH2', 'PFL', 'RPI']",3
1,MILP,vs,B,0.09203004721221865,10.28575459490171,optimal,"['FRD2', 'GND', 'RPE']",3
2,CB,ys,B,0.09203004717992395,0.0,optimal,"['MDH2', 'PFL', 'RPI']",3
3,MILP,ys,B,0.13144676732913566,0.0,optimal,"['FRD2', 'GND', 'RPE']",3
4,CB,vs,C,0.09203004721221865,10.285714285494201,optimal,"['MDH2', 'PFL', 'RPI']",3
5,MILP,vs,C,0.09203004721221865,10.28575459490171,optimal,"['FRD2', 'GND', 'RPE']",3
6,CB,ys,C,0.09203004721221865,10.285720464267664,optimal,"['MDH2', 'PFL', 'RPI']",3
7,MILP,ys,C,0.09203004721221865,10.28572046483908,optimal,"['FRD2', 'GND', 'RPE']",3
