,Method,Biomass,Chemical,Time,Strategy
0,MILP,0.18310921116800313,1.4148317730239208,67.71307373046875,"['FRD2', 'PFL', 'TKT2']"
1,CB,0.18310942408226794,1.4147942327339882,108.47546577453613,"['HEX1', 'PFL', 'TKT2']"
