,From,Criteria,FBA_Objct,V_biomass,V_chemical,Soltype,Strategy,K
0,CB,vs,B,0.2420746108173844,17.009742978064665,optimal,['r_0014'],1
1,MILP,vs,B,0.2601220976002211,16.08177688664351,optimal,['r_1110'],1
2,CB,ys,B,0.24207461087617016,0.0,optimal,['r_0014'],1
3,MILP,ys,B,0.2601220976002159,16.054733681864054,optimal,['r_1110'],1
4,CB,vs,C,0.2420746108173844,17.009742978064665,optimal,['r_0014'],1
5,MILP,vs,C,0.2601220976002211,16.08177688664351,optimal,['r_1110'],1
6,CB,ys,C,0.2420746108173844,17.00974297806421,optimal,['r_0014'],1
7,MILP,ys,C,0.2420746108173844,16.962569738886337,optimal,['r_1110'],1
