,C_Bio,C_Chel,Method,Time,Tgt,Strain,K,Strategy,E_Bio,E_Che,IC_Bio,IC_Che
22,0.2415,0.08008,P,0.432,1.0,iJO1366,1,['AKGDH'],0.2415,0.08005,1.0,2000.0
23,0.24009,0.25037,P,0.759,0.9,iJO1366,1,['FUM'],0.21735,2.98538,0.24009,0.25037
24,0.24009,0.25037,P,0.897,0.8,iJO1366,1,['FUM'],0.1932,5.89071,0.24009,0.25037
25,0.24009,0.25037,P,0.926,0.7,iJO1366,1,['FUM'],0.16905,8.72155,0.24009,0.25037
26,0.24009,0.25037,P,0.977,0.6,iJO1366,1,['FUM'],0.1449,9.8153,0.24009,0.25037
27,0.24009,0.25037,P,1.009,0.5,iJO1366,1,['FUM'],0.12075,10.90905,0.24009,0.25037
28,0.24009,0.25037,P,1.069,0.4,iJO1366,1,['FUM'],0.0966,12.00279,0.24009,0.25037
29,0.24009,0.25037,P,0.952,0.3,iJO1366,1,['FUM'],0.07245,13.01748,0.24009,0.25037
30,0.24009,0.25037,P,0.811,0.2,iJO1366,1,['FUM'],0.0483,13.93462,0.24009,0.25037
31,0.24009,0.25037,P,1.363,0.1,iJO1366,1,['FUM'],0.02415,14.85176,0.24009,0.25037
32,0.24009,0.25037,P,0.884,1.4e-16,iJO1366,1,['FUM'],0.0,15.76889,0.24009,0.25037
0,0.92195,0.00022,M,0.444,1.0,iJR904,1,['PYK'],0.92195,-0.0,0.92195,0.0
1,0.84459,1.64247,M,1.261,0.9,iJR904,1,['TPI'],0.82975,3.7271,0.84459,1.64246
2,0.74529,3.80086,M,1.276,0.8,iJR904,1,['ENO'],0.73756,7.28433,0.74529,3.80065
3,0.74529,3.80066,M,1.696,0.7,iJR904,1,['PGM'],0.64536,10.4353,0.74529,3.80065
4,0.62501,6.41519,M,1.538,0.6,iJR904,1,['PGK'],0.55317,13.02168,0.62501,6.41502
5,0.62501,6.41519,M,1.519,0.5,iJR904,1,['GAPD'],0.46097,15.52386,0.62501,6.41502
6,0.36878,18.02611,M,0.703,0.4,iJR904,1,['CS'],0.36878,18.02605,0.36878,11.98439
7,0.27658,20.50494,M,1.063,0.3,iJR904,1,['ICDHyr'],0.27658,20.5049,0.27658,13.98829
8,0.18439,22.87759,M,0.724,0.2,iJR904,1,['ICDHyr'],0.18439,22.87756,0.18439,15.99219
9,0.09219,25.18523,M,1.371,0.1,iJR904,1,['CS'],0.09219,25.18522,0.09219,17.99611
10,-0.0,27.49287,M,0.802,1.4e-16,iJR904,1,['ICDHyr'],0.0,27.49286,0.0,20.0
11,0.92195,1e-05,O,0.11,1.0,iJR904,1,['ACALD'],0.92195,-0.0,0.92195,0.0
12,0.84459,1.64247,O,0.568,0.9,iJR904,1,['TPI'],0.82975,3.7271,0.84459,1.64246
13,0.73756,7.28447,O,0.116,0.8,iJR904,1,['CS'],0.73756,7.28433,0.73756,3.96877
14,0.64536,10.43541,O,0.143,0.7,iJR904,1,['CS'],0.64536,10.4353,0.64536,5.97268
15,0.55317,13.02176,O,0.137,0.6,iJR904,1,['CS'],0.55317,13.02168,0.55317,7.97658
16,0.46097,15.52393,O,0.132,0.5,iJR904,1,['CS'],0.46097,15.52386,0.46097,9.98048
17,0.36878,18.02611,O,0.211,0.4,iJR904,1,['CS'],0.36878,18.02605,0.36878,11.98439
18,0.27658,20.50494,O,0.136,0.3,iJR904,1,['CS'],0.27658,20.5049,0.27658,13.98829
19,0.18439,22.87759,O,0.135,0.2,iJR904,1,['CS'],0.18439,22.87756,0.18439,15.99219
20,0.09219,25.1853,O,0.221,0.1,iJR904,1,['CS'],0.09219,25.18522,0.09219,17.99611
21,-0.0,27.49287,O,0.246,1.4e-16,iJR904,1,['CS'],0.0,27.49286,0.0,20.0
22,0.92195,1e-05,P,0.151,1.0,iJR904,1,['FRD2'],0.92195,-0.0,0.92195,0.0
