,MB,MC,CB,CC,tgt,Bio,Che
0,0.2415018239969413,0.08007345884815237,0.2415018239969413,0.08007457531549049,1.0,0.2415018333643685,0.08004916369721152
1,0.24008350709018011,0.2505540340280451,0.24008605002682434,0.25037133640998416,0.9,0.21735165002793166,2.9853775806529717
2,0.24007973882425704,0.2508199994620854,0.24008605002682393,0.2503713364099841,0.8,0.19320146669149482,5.8907059976206
3,0.1831092111680051,1.4148329575845437,0.18310942408226918,1.4147942327339407,0.7,0.16905128335505798,8.721553882766388
4,0.18310921116800408,1.414832258431978,0.18310942408226963,1.414794232733922,0.6,0.14490110001862114,9.815300153489005
5,0.18310921116800205,1.4148328510152137,0.18310942408226952,1.41479423273398,0.5,0.12075091668218428,10.909046424222026
6,0.11729381066986912,2.31314318196068,0.11729381066987436,2.313083678985559,0.4,0.09660073334574744,12.002792694918481
7,0.11729381066986999,2.313167714485504,0.11729413073439286,2.3130808418515136,0.3,0.0724505500093106,13.017483830080776
8,0.053096554031354666,8.979282972931797,0.053096607175777445,8.979263071548099,0.2,0.04830036667287374,13.934618849686423
9,0.05309655403135465,8.97928342498669,0.05309660717577723,8.979263071548226,0.1,0.024150183336436884,14.851757343692995
10,-1.0246594683849253e-08,15.76889467482556,-1.0246594683849253e-08,15.768889243287845,1.4e-16,0.0,15.768888888889052
