,MB,MC,CB,CC,tgt,Bio,Che
0,0.8855712275999399,7.771237805814964e-05,0.8855704661691561,0.0001171671272075514,1.0,0.8855712275787295,3.3760443329811096e-09
1,0.8176329424566467,0.8510312617503613,0.7970132228219882,2.3173551636521452,0.9,0.7970141048208566,2.397671554237604
2,0.8057565335668272,1.5063254449150434,0.817633,0.8510359057048764,0.8,0.7084569820629837,3.9924240835243836
3,0.8176134433380219,0.8518077054139432,0.8176329425129896,0.8509228672515203,0.7,0.6198998593051107,5.585097052506171
4,0.8176163362196228,0.8516650648538475,0.817632942511095,0.8509228673605247,0.6,0.5313427365472378,7.177770021487959
5,0.4427856137893649,8.770499540953466,0.4427856137893649,8.743768393389034,0.5,0.4427856137893649,8.770442988956347
6,0.8176034602907608,0.8526602169804871,0.3542284908471629,10.360550932045278,0.4,0.35422849103149195,10.363115957472473
7,0.26567136810626835,11.95343021908775,0.26567136810626835,11.953430109843332,0.3,0.265671368273619,11.955204913945284
8,0.17711424530716613,13.543605039095464,0.17711424530716613,13.543019386624387,0.2,0.17711424551574603,13.544184227166227
9,0.08855712256627157,15.132897414543862,0.08855712256627157,15.13260962584247,0.1,0.08855712275787309,15.133163540624082
10,0.0,16.72215432819732,0.0,16.722142857150175,1.4e-16,0.0,16.722142857133544
