,MB,MC,CB,CC,PB,PC,tgt,Bio,Che,Mys,Cys,Pys,Mt,Ct,Pt,ICB_mb,ICC_mb,ICB_mc,ICC_mc,ICB_cb,ICC_cb,ICB_cc,ICC_cc,ICB_pb,ICC_pb,ICB_pc,ICC_pc
0,0.88557,7e-05,0.88557,0.00012,0.88557,0.00012,1.0,0.88557,0.0,"['PFL', 'PYK']","['PFL', 'PYK']","['FRD2', 'HEX1']",1.86,0.312,0.437,0.88557,0.88557,0.0,-0.0,0.88557,0.88557,0.0,-0.0,0.88557,0.88557,0.0,-0.0
1,0.79701,2.33059,0.81763,0.85092,0.87159,0.00015,0.9,0.79701,2.39767,"['TKT1', 'TKT2']","['FUM', 'HEX1']","['PFK', 'PFL']",8.793,15.063,1.307,1.0,0.79701,2000.0,2.33052,0.81763,0.79701,0.85092,1.98859,0.87159,0.79701,0.0,2.25511
2,0.70846,3.94949,0.81763,0.85092,0.70846,3.99248,0.8,0.70846,3.99242,"['TKT1', 'TKT2']","['FUM', 'HEX1']","['FRD2', 'HEX1']",7.659,15.41,0.601,1.0,0.70846,2000.0,3.94943,0.81763,0.70846,0.85092,3.8833,0.88557,0.70846,0.0,3.99242
3,0.69682,4.13915,0.6199,5.54617,0.6199,5.58515,0.7,0.6199,5.5851,"['RPE', 'TALA']","['RPE', 'TKT2']","['FRD2', 'HEX1']",14.311,14.096,0.663,0.8457,0.6199,0.0,5.53803,0.6199,0.6199,0.0,5.54612,0.88557,0.6199,0.0,5.5851
4,0.53134,7.15097,0.53134,7.13658,0.53134,7.17783,0.6,0.53134,7.17777,"['RPE', 'TKT2']","['PGL', 'RPI']","['FRD2', 'TKT2']",8.483,7.12,0.758,1.0,0.53134,2000.0,7.15091,0.66382,0.53134,0.0,7.13652,0.87654,0.53134,0.0,7.17777
5,0.44279,8.75576,0.81763,0.85092,0.84683,1.15962,0.5,0.44279,8.77044,"['RPE', 'TKT2']","['AKGDH', 'FUM']","['G6PDH2r', 'TKT1']",5.531,21.541,0.777,1.0,0.44279,2000.0,8.7557,0.81763,0.44279,0.85092,8.64362,0.86952,0.44279,0.0,8.74992
6,0.35423,10.36267,0.35423,10.36266,0.88557,0.0,0.4,0.35423,10.36312,"['GND', 'TKT2']","['GND', 'TKT2']","['GLCabcpp', 'PYK']",6.545,5.276,0.377,1.0,2000.0,2000.0,1.0,0.35423,0.35423,0.0,10.36261,0.88557,0.35423,0.0,10.36312
7,0.26567,11.95525,0.81763,0.85092,0.81763,0.85092,0.3,0.26567,11.9552,"['GND', 'RPE']","['FUM', 'GLCabcpp']","['AKGDH', 'FUM']",6.542,23.775,6.694,0.26567,0.26567,0.0,11.9552,0.81763,0.26567,0.85092,11.76405,0.81763,0.26567,0.85092,11.74699
8,0.17711,7.31885,0.17711,7.31887,0.81763,0.85092,0.2,0.17711,13.54418,"['RPE', 'RPI']","['RPI', 'TKT2']","['AKGDH', 'FUM']",10.062,22.365,8.482,1.0,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,0.81763,0.17711,0.85092,13.29867
9,0.08856,15.13321,0.08856,15.13321,0.81763,0.85092,0.1,0.08856,15.13316,"['GND', 'TKT2']","['RPE', 'RPI']","['AKGDH', 'FUM']",4.651,3.501,6.734,1.0,0.08856,2000.0,15.13316,1.0,0.08856,2000.0,15.13316,0.81763,0.08856,0.85092,14.85036
10,0.0,16.72215,0.0,16.72215,0.0,16.72215,1.4e-16,0.0,16.72214,"['ICDHyr', 'PYK']","['AKGDH', 'ICDHyr']","['HEX1', 'ICDHyr']",1.732,1.579,0.884,0.0,0.0,0.0,16.72214,0.0,0.0,0.0,16.72214,0.0,0.0,0.0,16.72214
