,B,C,N_B,N_C
0,0.8855712275787295,3.3760443329811096e-09,1.0,2.0189065252130135e-10
1,0.7970141048208566,2.397671554237604,0.9,0.14338303258871962
2,0.7084569820629837,3.9924240835243836,0.8,0.23875074609957925
3,0.6198998593051107,5.585097052506171,0.7000000000000001,0.33399409993221113
4,0.5313427365472378,7.177770021487959,0.6000000000000002,0.42923745376484296
5,0.4427856137893649,8.770442988956347,0.5000000000000001,0.5244808075069721
6,0.35422849103149195,10.363115957472473,0.4000000000000002,0.619724161311757
7,0.265671368273619,11.955204913945284,0.30000000000000016,0.7149325906425492
8,0.17711424551574603,13.544184227166227,0.20000000000000015,0.8099550603580914
9,0.08855712275787309,15.133163540624082,0.10000000000000014,0.9049775300878012
10,0.0,16.722142857133544,0.0,1.0
