,MB,MC,CB,CC,PB,PC,tgt,Bio,Che,Mys,Cys,Pys,Mt,Ct,Pt,ICB_mb,ICC_mb,ICB_mc,ICC_mc,ICB_cb,ICC_cb,ICB_cc,ICC_cc,ICB_pb,ICC_pb,ICB_pc,ICC_pc
0,0.88557,8e-05,0.88557,0.00011,0.88557,0.00011,1.0,0.88557,0.0,['PYK'],['PYK'],['MDH3'],1.071,0.36,0.439,0.88557,0.88557,0.0,-0.0,0.88557,0.88557,0.0,-0.0,0.88557,0.88557,0.0,-0.0
1,0.81763,0.85104,0.81763,0.85092,0.81763,0.85092,0.9,0.79701,2.39767,['FUM'],['FUM'],['FUM'],5.145,1.594,0.848,0.81763,0.79701,0.85092,1.98859,0.81763,0.79701,0.85092,1.98859,0.81763,0.79701,0.85092,1.98859
2,0.81763,0.85103,0.81763,0.85092,0.70846,3.99248,0.8,0.70846,3.99242,['FUM'],['FUM'],['FRD2'],5.23,1.702,0.56,0.81763,0.70846,0.85092,3.8833,0.81763,0.70846,0.85092,3.8833,0.88557,0.70846,0.0,3.99242
3,0.81761,0.85215,0.81763,0.85092,0.6199,5.58515,0.7,0.6199,5.5851,['FUM'],['FUM'],['FRD2'],3.753,1.608,0.591,0.81763,0.6199,0.85092,5.56845,0.81763,0.6199,0.85092,5.56845,0.88557,0.6199,0.0,5.5851
4,0.53134,7.17782,0.81763,0.85092,0.81763,0.85092,0.6,0.53134,7.17777,['RPI'],['FUM'],['FUM'],2.944,1.845,1.026,0.87153,0.53134,0.0,7.17777,0.81763,0.53134,0.85092,7.11735,0.81763,0.53134,0.85092,7.11735
5,0.81761,0.8522,0.81763,0.85092,0.86653,0.57981,0.5,0.44279,8.77044,['FUM'],['FUM'],['FRD2'],5.139,1.943,0.563,0.81763,0.44279,0.85092,8.66625,0.81763,0.44279,0.85092,8.66625,0.88557,0.44279,0.0,8.77044
6,0.81757,0.85443,0.81763,0.85092,0.87738,8e-05,0.4,0.35423,10.36312,['FUM'],['FUM'],['ACKr'],3.675,1.625,0.416,0.81763,0.35423,0.85092,10.21515,0.81763,0.35423,0.85092,10.21515,0.87738,0.35423,0.0,10.36312
7,0.8176,0.85266,0.81763,0.85092,0.87738,8e-05,0.3,0.26567,11.9552,['FUM'],['FUM'],['ACKr'],4.217,1.836,0.434,0.81763,0.26567,0.85092,11.76405,0.81763,0.26567,0.85092,11.76405,0.87738,0.26567,0.0,11.9552
8,0.81759,0.85365,0.81763,0.85092,0.81763,0.85092,0.2,0.17711,13.54418,['FUM'],['FUM'],['FUM'],4.205,1.901,0.982,0.81763,0.17711,0.85092,13.31295,0.81763,0.17711,0.85092,13.31295,0.81763,0.17711,0.85092,13.31295
9,0.81761,0.85232,0.81763,0.85092,0.86268,6e-05,0.1,0.08856,15.13316,['FUM'],['FUM'],['GLCptspp'],4.824,1.699,0.642,0.81763,0.08856,0.85092,14.86185,0.81763,0.08856,0.85092,14.86185,0.86268,0.08856,0.0,15.01447
10,0.0,16.72215,0.0,16.72215,0.0,16.72215,1.4e-16,0.0,16.72214,['ICDHyr'],['ICDHyr'],['ICDHyr'],1.626,1.223,0.704,0.0,0.0,0.0,16.72214,-0.0,0.0,0.0,16.72214,0.0,0.0,0.0,16.72214
