,B,C,N_B,N_C
0,0.9219480950505711,-4.744571402426345e-09,1.0,-1.7257469377300733e-10
1,0.829753285545514,3.7271028017929537,0.9,0.1355662229787513
2,0.7375584760404569,7.284326889015266,0.8,0.2649534332166282
3,0.6453636665353998,10.435300950772847,0.7000000000000001,0.37956407718679136
4,0.5531688570303427,13.021676327518836,0.6000000000000001,0.47363852580731974
5,0.46097404752528565,15.523860701425507,0.5000000000000001,0.5646506880164754
6,0.36877923802022855,18.026045086562508,0.40000000000000013,0.6556628506341129
7,0.27658442851517145,20.504896439177337,0.30000000000000016,0.7458263189017716
8,0.18438961901011436,22.877561449425052,0.20000000000000015,0.8321274624276194
9,0.09219480950505723,25.185221824678187,0.10000000000000014,0.9160641869097831
10,0.0,27.49285714316273,0.0,1.0
