,MB,MC,CB,CC,PB,PC,tgt,Bio,Che,Mys,Cys,Pys,Mt,Ct,Pt,ICB_mb,ICC_mb,ICB_mc,ICC_mc,ICB_cb,ICC_cb,ICB_cc,ICC_cc,ICB_pb,ICC_pb,ICB_pc,ICC_pc
0,0.92195,1e-05,0.92195,1e-05,0.92195,0.0,1.0,0.92195,-0.0,"['ACALD', 'PYK']","['ACALD', 'FRD2']","['ACALD', 'FRD2']",0.848,0.155,0.135,0.92195,0.92195,0.0,0.0,0.92195,0.92195,0.0,-0.0,0.92195,0.92195,0.0,-0.0
1,0.83255,1.90414,0.82975,3.38797,0.83255,1.90413,0.9,0.82975,3.7271,"['PGI', 'TKT1']","['RPE', 'TKT1']","['PGI', 'TKT1']",2.967,2.568,1.151,0.83255,0.82975,1.90413,2.01997,0.82975,0.82975,1.96487,3.38797,0.83255,0.82975,1.90413,2.01997
2,0.73756,6.9555,0.74006,3.84645,0.74006,3.84645,0.8,0.73756,7.28433,"['GND', 'RPE']","['G6PDH2r', 'TPI']","['PGL', 'TPI']",2.307,6.405,1.686,0.89992,0.73756,0.42688,6.95533,0.74006,0.73756,3.84645,4.01243,0.74006,0.73756,3.84645,4.01243
3,0.66986,5.3787,0.66986,5.37864,0.66986,5.37864,0.7,0.64536,10.4353,"['HEX1', 'PGM']","['ENO', 'HEX1']","['HEX1', 'PGM']",3.632,5.797,2.144,0.66986,0.64536,5.37864,6.37789,0.66986,0.64536,5.37864,6.37789,0.66986,0.64536,5.37864,6.37789
4,0.5598,7.83264,0.55317,12.17709,0.55317,11.96504,0.6,0.55317,13.02168,"['GAPD', 'HEX1']","['FUM', 'ICDHyr']","['ACKr', 'ICDHyr']",3.666,3.983,1.434,0.5598,0.55317,7.83248,8.10131,0.55317,0.55317,6.96168,12.17697,0.55317,0.55317,0.31689,11.96504
5,0.53219,8.38574,0.46097,13.41737,0.53219,8.38375,0.5,0.46097,15.52386,"['PGK', 'PGL']","['CS', 'TALA']","['PGK', 'PGL']",2.977,5.246,2.292,0.53219,0.46097,8.38375,11.25639,0.46097,0.46097,9.98048,13.41733,0.53219,0.46097,8.38375,11.25639
6,0.53218,8.38881,0.36878,14.7339,0.53219,8.38375,0.4,0.36878,18.02605,"['G6PDH2r', 'PGK']","['CS', 'TALA']","['GAPD', 'PGL']",2.745,6.459,2.104,0.53219,0.36878,8.38375,14.6624,0.36878,0.36878,11.98439,14.73387,0.53219,0.36878,8.38375,14.6624
7,0.53218,8.38994,0.27658,20.50494,0.53219,8.38375,0.3,0.27658,20.5049,"['G6PDH2r', 'GAPD']","['FRD2', 'ICDHyr']","['G6PDH2r', 'PGK']",3.253,0.823,2.16,0.53219,0.27658,8.38375,17.62256,0.27658,0.27658,13.98829,20.5049,0.53219,0.27658,8.38375,17.62256
8,0.18439,22.87759,0.18439,22.87756,0.53219,8.38375,0.2,0.18439,22.87756,"['ICDHyr', 'PFL']","['ICDHyr', 'LDH_D']","['PGK', 'PGL']",0.715,0.709,2.126,0.18439,0.18439,15.99219,22.87756,0.18439,0.18439,15.99219,22.87756,0.53219,0.18439,8.38375,20.58272
9,0.09219,25.18523,0.09219,25.18529,0.53219,8.38375,0.1,0.09219,25.18522,"['CS', 'PGL']","['ICDHyr', 'MDH2']","['G6PDH2r', 'PGK']",1.115,0.702,2.387,0.09219,0.09219,17.9961,25.18522,0.09219,0.09219,17.99611,25.18522,0.53219,0.09219,8.38375,23.54228
10,0.0,27.49286,-0.0,27.49287,0.53219,8.38375,1.4e-16,0.0,27.49286,"['CS', 'PFL']","['CS', 'MDH']","['GAPD', 'PGL']",1.226,0.236,3.715,0.0,0.0,20.0,27.49286,0.0,0.0,20.0,27.49286,0.53219,0.0,8.38375,26.30526
