,K,Biomass,Chemical,Time,Strategy
0,1,0.10812695937161103,13.287457931619919,0.2320079803466797,['CS']
1,2,0.10812695937161103,13.229745274307716,0.9416370391845703,"['RPE', 'TKT2']"
2,3,0.10812695937161103,13.287321656681405,0.3694343566894531,"['ACALD', 'CS', 'PFL']"
