Column1,MB,MC,OB,OC,PB,PC,tgt,MGKO,OGKO,PGKO,Mt,Ot,Pt,K,Strain,BObj
29,0.1705,17.33453,0.1705,17.33451,0.18921,17.20292,70,"['PFK', 'PFL', 'TALA']","['FBA', 'PFL', 'TALA']","['G6PDH2r', 'LDH_D', 'PFL']",15.452,34.622,22.384,3,iJO,etoh
30,0.1705,17.33454,0.1705,17.33451,0.18921,17.20292,60,"['FBA', 'PFL', 'TALA']","['FBA', 'PFL', 'TALA']","['FRD2', 'LDH_D', 'PFL']",33.199,34.756,17.709,3,iJO,etoh
31,0.1705,17.33453,0.1705,17.33452,0.18921,17.20292,50,"['PFK', 'PFL', 'TALA']","['PFK', 'PFL', 'TALA']","['GND', 'LDH_D', 'PFL']",31.176,34.794,22.183,3,iJO,etoh
32,0.1705,17.33453,0.1705,17.33451,0.18921,17.20292,40,"['PFK', 'PFL', 'TALA']","['PFK', 'PFL', 'TALA']","['GND', 'LDH_D', 'PFL']",35.233,39.534,24.329,3,iJO,etoh
33,0.07245,18.92899,0.07692,18.86302,0.07692,18.86291,30,"['AKGDH', 'GLCptspp', 'PFL']","['FBA', 'GLCptspp', 'PFL']","['GLCptspp', 'LDH_D', 'PFL']",12.369,51.469,31.553,3,iJO,etoh
34,0.07692,18.86306,0.07692,18.86302,0.07692,18.86291,20,"['GLCptspp', 'GND', 'PFL']","['GLCptspp', 'PGL', 'PFL']","['GLCptspp', 'LDH_D', 'PFL']",44.198,53.564,38.433,3,iJO,etoh
35,0.07692,18.86292,0.07692,18.86302,0.07692,18.86291,10,"['GLCptspp', 'PGI', 'PFL']","['G6PDH2r', 'PGI', 'PFL']","['GLCptspp', 'LDH_D', 'PFL']",27.116,55.639,47.125,3,iJO,etoh
36,0.22286,17.44912,0.22286,17.44901,0.22286,17.44901,90,"['FBA', 'TALA']","['FBA', 'TALA']","['PFK', 'TALA']",15.031,3.793,2.53,2,iJO,for
37,0.1937,34.89039,0.1937,34.89035,0.19481,17.80859,80,"['ACALD', 'TALA']","['ACALD', 'TKT1']","['ALCD2x', 'LDH_D']",7.45,5.219,4.174,2,iJO,for
38,0.1916,35.23805,0.1916,35.23804,0.19481,17.80859,70,"['ACALD', 'TKT2']","['ALCD2x', 'TKT2']","['ACALD', 'LDH_D']",5.912,6.416,4.961,2,iJO,for
39,0.1916,35.23807,0.1916,35.23801,0.15106,26.64939,60,"['ALCD2x', 'TKT2']","['ALCD2x', 'TKT2']","['TKT2', 'TPI']",19.647,6.369,6.068,2,iJO,for
40,0.12719,36.54448,0.12719,36.5455,0.15106,26.64939,50,"['ACALD', 'TPI']","['ALCD2x', 'TPI']","['TKT2', 'TPI']",11.171,7.515,6.57,2,iJO,for
41,0.12719,36.54447,0.12719,36.54444,0.15106,26.64939,40,"['ACALD', 'TPI']","['ALCD2x', 'TPI']","['TKT2', 'TPI']",19.006,8.136,7.229,2,iJO,for
42,0.07919,37.84838,0.07919,37.84891,0.15106,26.64939,30,"['ACALD', 'GLCptspp']","['ALCD2x', 'GLCptspp']","['TKT2', 'TPI']",13.85,10.263,7.446,2,iJO,for
43,0.07919,37.84838,0.07919,37.8489,0.0502,28.77037,20,"['ACALD', 'GLCptspp']","['ACALD', 'GLCptspp']","['GLCptspp', 'TPI']",19.824,10.086,7.797,2,iJO,for
44,0.07919,37.84892,0.07919,37.84837,0.0502,28.77037,10,"['ACALD', 'GLCptspp']","['ACALD', 'GLCptspp']","['GLCptspp', 'TPI']",20.354,10.643,7.529,2,iJO,for
45,0.22286,17.44912,0.22286,17.44901,0.22286,17.44901,90,"['FRD2', 'FBA', 'TALA']","['FBA', 'MDH2', 'TALA']","['FBA', 'PFK', 'TALA']",7.518,19.354,8.159,3,iJO,for
46,0.1937,34.89046,0.1937,34.89035,0.19481,17.80859,80,"['ALCD2x', 'GLCabcpp', 'TALA']","['ALCD2x', 'FRD2', 'TALA']","['ALCD2x', 'GLCabcpp', 'LDH_D']",8.696,16.261,20.629,3,iJO,for
47,0.17866,35.28768,0.17867,35.28699,0.19481,34.7073,70,"['ACALD', 'FBA', 'TALA']","['ALCD2x', 'FBA', 'TALA']","['ACALD', 'LDH_D', 'PYK']",6.707,30.888,16.444,3,iJO,for
48,0.17867,35.28705,0.17867,35.28699,0.15106,26.64939,60,"['ALCD2x', 'FBA', 'TALA']","['ACALD', 'FBA', 'TALA']","['HEX1', 'TKT2', 'TPI']",44.343,31.206,34.789,3,iJO,for
49,0.13081,38.58953,0.13081,38.5905,0.15106,26.64939,50,"['ACALD', 'GLCabcpp', 'PGI']","['ALCD2x', 'GLCabcpp', 'PGI']","['PYK', 'TKT2', 'TPI']",11.97,34.239,50.901,3,iJO,for
50,0.13081,38.58925,0.13081,38.5905,0.15106,26.64939,40,"['ACALD', 'GLCabcpp', 'PGI']","['ACALD', 'GLCabcpp', 'PGI']","['AKGDH', 'TKT2', 'TPI']",66.628,40.951,60.568,3,iJO,for
